K,Accuracy,Precision,Recall,F1 score
1,0.88613,0.87858,0.88148,0.87946
2,0.88199,0.89651,0.85427,0.86795
3,0.89027,0.88823,0.87612,0.88117
4,0.89648,0.90347,0.87567,0.88606
5,0.91097,0.91107,0.89816,0.90371
6,0.91097,0.92124,0.89056,0.90187
7,0.91718,0.92097,0.90206,0.90973
8,0.90269,0.91364,0.88065,0.89261
9,0.90890,0.91326,0.89215,0.90057
10,0.90062,0.91386,0.87682,0.88966
11,0.91097,0.91696,0.89382,0.90266
12,0.90890,0.92408,0.88564,0.89852
13,0.90476,0.90957,0.88775,0.89597
14,0.90683,0.91807,0.88506,0.89682
15,0.91718,0.92145,0.90206,0.90979
16,0.90683,0.91699,0.88615,0.89715
17,0.91304,0.92172,0.89439,0.90453
18,0.90683,0.92020,0.88398,0.89663
19,0.91511,0.92664,0.89497,0.90634
20,0.90890,0.92221,0.88672,0.89899
21,0.91304,0.92354,0.89330,0.90395
22,0.90683,0.92350,0.88180,0.89600
23,0.91097,0.92636,0.88730,0.90085
24,0.90890,0.92719,0.88347,0.89806
25,0.90683,0.92361,0.88180,0.89590
26,0.89855,0.91797,0.87082,0.88616
27,0.90062,0.91710,0.87465,0.88880
28,0.90062,0.92178,0.87248,0.88824
29,0.90062,0.91991,0.87356,0.88869
30,0.89855,0.92037,0.86973,0.88568
31,0.89855,0.91614,0.87190,0.88654
32,0.89648,0.91472,0.86915,0.88398
33,0.90269,0.91884,0.87740,0.89155
34,0.90476,0.92469,0.87797,0.89324
