K,Alpha,Accuracy,Precision,Recall,F1 score
1,0.20000,0.89450,0.89157,0.88833,0.88767
1,0.40000,0.88830,0.88597,0.88005,0.88072
1,0.50000,0.88622,0.88382,0.87727,0.87845
1,0.60000,0.88004,0.87766,0.86906,0.87155
1,0.80000,0.88006,0.87702,0.87020,0.87187
2,0.20000,0.88410,0.90222,0.85602,0.86981
2,0.40000,0.88824,0.90862,0.85939,0.87436
2,0.50000,0.88824,0.90862,0.85939,0.87436
2,0.60000,0.87785,0.89934,0.84667,0.86196
2,0.80000,0.86132,0.88809,0.82481,0.84096
3,0.20000,0.88615,0.88345,0.87398,0.87721
3,0.40000,0.88617,0.88666,0.86967,0.87607
3,0.50000,0.88204,0.88533,0.86313,0.87097
3,0.60000,0.88409,0.88713,0.86584,0.87336
3,0.80000,0.88412,0.89179,0.86154,0.87208
4,0.20000,0.89438,0.90833,0.86968,0.88248
4,0.40000,0.89025,0.90523,0.86419,0.87764
4,0.50000,0.88817,0.90433,0.86147,0.87512
4,0.60000,0.87167,0.89222,0.83957,0.85476
4,0.80000,0.86751,0.88924,0.83402,0.84961
5,0.20000,0.89852,0.90322,0.88056,0.88902
5,0.40000,0.89438,0.90323,0.87288,0.88363
5,0.50000,0.89642,0.90438,0.87560,0.88598
5,0.60000,0.88815,0.89804,0.86467,0.87626
5,0.80000,0.88194,0.89125,0.85754,0.86922
6,0.20000,0.90063,0.91466,0.87683,0.88973
6,0.40000,0.89235,0.91051,0.86477,0.87950
6,0.50000,0.87994,0.89964,0.84941,0.86474
6,0.60000,0.87785,0.89783,0.84667,0.86214
6,0.80000,0.86747,0.88806,0.83396,0.84967
7,0.20000,0.89857,0.90667,0.87846,0.88834
7,0.40000,0.89647,0.90668,0.87461,0.88539
7,0.50000,0.88817,0.90070,0.86362,0.87573
7,0.60000,0.88815,0.90036,0.86356,0.87583
7,0.80000,0.88188,0.89313,0.85637,0.86857
8,0.20000,0.90070,0.91621,0.87584,0.88945
8,0.40000,0.88622,0.90431,0.85775,0.87235
8,0.50000,0.88001,0.89955,0.84947,0.86493
8,0.60000,0.87994,0.89897,0.84939,0.86490
8,0.80000,0.87582,0.90115,0.84173,0.85881
9,0.20000,0.90270,0.90896,0.88393,0.89330
9,0.40000,0.88405,0.89234,0.86145,0.87199
9,0.50000,0.87995,0.88903,0.85596,0.86714
9,0.60000,0.87994,0.88876,0.85590,0.86718
9,0.80000,0.87162,0.89007,0.84050,0.85538
10,0.20000,0.90282,0.91867,0.87757,0.89172
10,0.40000,0.88624,0.90286,0.85775,0.87248
10,0.50000,0.88412,0.90593,0.85273,0.86920
10,0.60000,0.87580,0.89403,0.84495,0.86024
10,0.80000,0.87376,0.89970,0.83896,0.85625
11,0.20000,0.90893,0.91625,0.88998,0.90004
11,0.40000,0.89652,0.90680,0.87350,0.88546
11,0.50000,0.89857,0.91216,0.87403,0.88725
11,0.60000,0.88409,0.89807,0.85705,0.87078
11,0.80000,0.88409,0.90281,0.85479,0.86988
12,0.20000,0.90489,0.92041,0.88026,0.89382
12,0.40000,0.89865,0.91861,0.87084,0.88640
12,0.50000,0.89242,0.91636,0.86155,0.87863
12,0.60000,0.88204,0.90730,0.84890,0.86618
12,0.80000,0.87164,0.89883,0.83612,0.85336
13,0.20000,0.91517,0.92084,0.89831,0.90727
13,0.40000,0.91112,0.92469,0.88856,0.90155
13,0.50000,0.90489,0.91696,0.88251,0.89480
13,0.60000,0.89870,0.91248,0.87435,0.88737
13,0.80000,0.88410,0.90191,0.85495,0.86996
14,0.20000,0.91727,0.93110,0.89567,0.90830
14,0.40000,0.90280,0.92294,0.87542,0.89106
14,0.50000,0.89869,0.91800,0.87100,0.88641
14,0.60000,0.88419,0.90608,0.85291,0.86915
14,0.80000,0.87584,0.90132,0.84180,0.85887
15,0.20000,0.91313,0.91938,0.89566,0.90480
15,0.40000,0.90482,0.91820,0.88131,0.89450
15,0.50000,0.90067,0.91363,0.87687,0.88983
15,0.60000,0.89450,0.91138,0.86766,0.88216
15,0.80000,0.87994,0.89727,0.85056,0.86530
16,0.20000,0.90080,0.91575,0.87602,0.88937
16,0.40000,0.89245,0.91188,0.86384,0.87926
16,0.50000,0.88830,0.91158,0.85723,0.87367
16,0.60000,0.88622,0.91006,0.85445,0.87121
16,0.80000,0.88204,0.90951,0.84785,0.86580
17,0.20000,0.90697,0.91826,0.88528,0.89701
17,0.40000,0.90280,0.91720,0.87865,0.89175
17,0.50000,0.89450,0.91125,0.86760,0.88190
17,0.60000,0.89445,0.91158,0.86754,0.88185
17,0.80000,0.88619,0.90832,0.85556,0.87156
18,0.20000,0.90490,0.92035,0.88034,0.89380
18,0.40000,0.89659,0.91651,0.86822,0.88375
18,0.50000,0.89452,0.91724,0.86433,0.88081
18,0.60000,0.89245,0.91585,0.86161,0.87835
18,0.80000,0.87589,0.90314,0.84080,0.85831
19,0.20000,0.90904,0.92325,0.88584,0.89883
19,0.40000,0.90282,0.91942,0.87760,0.89115
19,0.50000,0.89657,0.91485,0.86927,0.88386
19,0.60000,0.89244,0.91188,0.86378,0.87888
19,0.80000,0.87997,0.89753,0.85056,0.86509
20,0.20000,0.90072,0.91940,0.87372,0.88870
20,0.40000,0.89450,0.91766,0.86437,0.88068
20,0.50000,0.89242,0.91844,0.86048,0.87797
20,0.60000,0.88620,0.91209,0.85338,0.87077
20,0.80000,0.88211,0.90762,0.84906,0.86576
21,0.20000,0.90490,0.92018,0.88034,0.89399
21,0.40000,0.89454,0.91296,0.86661,0.88124
21,0.50000,0.89240,0.91382,0.86264,0.87856
21,0.60000,0.89034,0.91243,0.85993,0.87611
21,0.80000,0.88410,0.90254,0.85499,0.86961
22,0.20000,0.89867,0.91998,0.86989,0.88578
22,0.40000,0.89039,0.91450,0.85890,0.87569
22,0.50000,0.89242,0.91843,0.86048,0.87783
22,0.60000,0.88619,0.91447,0.85221,0.87036
22,0.80000,0.88619,0.91484,0.85221,0.87033
23,0.20000,0.90695,0.92554,0.88088,0.89574
23,0.40000,0.89244,0.91591,0.86161,0.87827
23,0.50000,0.89242,0.91587,0.86159,0.87813
23,0.60000,0.88202,0.90474,0.84999,0.86638
23,0.80000,0.88827,0.90924,0.85832,0.87388
24,0.20000,0.89452,0.91724,0.86439,0.88102
24,0.40000,0.88829,0.91572,0.85505,0.87282
24,0.50000,0.88619,0.91185,0.85332,0.87073
24,0.60000,0.88410,0.91057,0.85054,0.86822
24,0.80000,0.88410,0.91321,0.84949,0.86787
25,0.20000,0.89452,0.91295,0.86661,0.88152
25,0.40000,0.89037,0.91015,0.86112,0.87643
25,0.50000,0.89657,0.91862,0.86715,0.88325
25,0.60000,0.89240,0.91589,0.86159,0.87840
25,0.80000,0.89035,0.91485,0.85887,0.87576
26,0.20000,0.89032,0.91236,0.85993,0.87621
26,0.40000,0.88827,0.91314,0.85616,0.87315
26,0.50000,0.88619,0.91192,0.85338,0.87085
26,0.60000,0.88416,0.91065,0.85072,0.86813
26,0.80000,0.88620,0.91445,0.85227,0.87045
27,0.20000,0.89452,0.91093,0.86769,0.88179
27,0.40000,0.89659,0.91869,0.86721,0.88311
27,0.50000,0.89452,0.91741,0.86449,0.88074
27,0.60000,0.89037,0.91265,0.86005,0.87594
27,0.80000,0.89037,0.91461,0.85893,0.87573
28,0.20000,0.89864,0.92237,0.86881,0.88542
28,0.40000,0.89660,0.92115,0.86616,0.88269
28,0.50000,0.89660,0.92109,0.86616,0.88289
28,0.60000,0.89039,0.91707,0.85788,0.87531
28,0.80000,0.88622,0.91195,0.85344,0.87073
29,0.20000,0.90074,0.92144,0.87266,0.88822
29,0.40000,0.90072,0.92378,0.87159,0.88780
29,0.50000,0.89659,0.91907,0.86721,0.88325
29,0.60000,0.89662,0.92112,0.86616,0.88286
29,0.80000,0.89454,0.91745,0.86449,0.88071
