K,Accuracy,Precision,Recall,F1 score
1,0.87578,0.87294,0.86340,0.86667
2,0.85921,0.88224,0.82296,0.83912
3,0.87164,0.87506,0.85031,0.85900
4,0.89027,0.90845,0.86200,0.87697
5,0.90890,0.91674,0.88998,0.90023
6,0.89234,0.91327,0.86366,0.87887
7,0.90269,0.91825,0.87848,0.89196
8,0.88613,0.90897,0.85542,0.87159
9,0.89855,0.91239,0.87407,0.88729
10,0.89234,0.91777,0.86149,0.87821
11,0.90476,0.92418,0.87906,0.89335
12,0.89234,0.91770,0.86149,0.87828
13,0.90062,0.92133,0.87356,0.88886
14,0.89441,0.91931,0.86423,0.88078
15,0.89441,0.91067,0.86858,0.88220
16,0.89234,0.91343,0.86366,0.87895
17,0.89027,0.90395,0.86526,0.87798
18,0.89027,0.91089,0.86091,0.87649
19,0.89234,0.90833,0.86583,0.87978
20,0.89855,0.92579,0.86756,0.88514
21,0.89855,0.92073,0.86973,0.88588
22,0.89855,0.92327,0.86864,0.88551
23,0.89441,0.91570,0.86532,0.88122
24,0.89648,0.92389,0.86481,0.88255
25,0.89441,0.91628,0.86532,0.88118
26,0.88820,0.91418,0.85599,0.87327
27,0.90062,0.91954,0.87356,0.88870
28,0.89441,0.92036,0.86315,0.88057
29,0.89648,0.91665,0.86807,0.88370
30,0.89027,0.91742,0.85765,0.87532
31,0.89234,0.91605,0.86149,0.87809
32,0.88820,0.91649,0.85491,0.87266
33,0.89234,0.91895,0.86040,0.87775
34,0.88820,0.91917,0.85382,0.87234
