K,Alpha,Accuracy,Precision,Recall,F1 score
1,0.20000,0.89030,0.88649,0.88386,0.88324
1,0.40000,0.88617,0.88270,0.87941,0.87883
1,0.50000,0.88822,0.88505,0.88106,0.88088
1,0.60000,0.88412,0.88022,0.87666,0.87659
1,0.80000,0.88414,0.88045,0.87561,0.87628
2,0.20000,0.89030,0.90639,0.86423,0.87746
2,0.40000,0.88409,0.90364,0.85491,0.86979
2,0.50000,0.87785,0.90000,0.84664,0.86185
2,0.60000,0.86959,0.89200,0.83682,0.85185
2,0.80000,0.87164,0.89540,0.83846,0.85394
3,0.20000,0.88824,0.88639,0.87565,0.87929
3,0.40000,0.88617,0.88646,0.87075,0.87636
3,0.50000,0.88617,0.88851,0.86856,0.87584
3,0.60000,0.88207,0.88403,0.86420,0.87142
3,0.80000,0.88409,0.88587,0.86686,0.87379
4,0.20000,0.89233,0.90496,0.86804,0.88036
4,0.40000,0.88612,0.90216,0.85875,0.87259
4,0.50000,0.88404,0.90379,0.85486,0.86947
4,0.60000,0.88404,0.90379,0.85486,0.86947
4,0.80000,0.88608,0.90711,0.85647,0.87169
5,0.20000,0.89852,0.90230,0.88163,0.88924
5,0.40000,0.90265,0.90963,0.88387,0.89328
5,0.50000,0.90060,0.90800,0.88115,0.89093
5,0.60000,0.89852,0.90773,0.87730,0.88828
5,0.80000,0.89652,0.90530,0.87568,0.88627
6,0.20000,0.90272,0.91795,0.87853,0.89183
6,0.40000,0.90471,0.92093,0.88006,0.89399
6,0.50000,0.90263,0.92132,0.87623,0.89122
6,0.60000,0.89437,0.91190,0.86740,0.88198
6,0.80000,0.88815,0.90571,0.86024,0.87493
7,0.20000,0.89857,0.90667,0.87846,0.88834
7,0.40000,0.90888,0.91738,0.88998,0.89988
7,0.50000,0.90475,0.91258,0.88560,0.89532
7,0.60000,0.90267,0.90988,0.88393,0.89319
7,0.80000,0.89440,0.90345,0.87294,0.88358
8,0.20000,0.90688,0.92258,0.88298,0.89636
8,0.40000,0.89657,0.91163,0.87145,0.88482
8,0.50000,0.89865,0.91466,0.87312,0.88698
8,0.60000,0.90275,0.91951,0.87748,0.89155
8,0.80000,0.89450,0.90979,0.86868,0.88247
9,0.20000,0.90062,0.90748,0.88115,0.89077
9,0.40000,0.88817,0.89537,0.86689,0.87690
9,0.50000,0.89855,0.90877,0.87627,0.88780
9,0.60000,0.89648,0.90546,0.87461,0.88569
9,0.80000,0.89857,0.91011,0.87627,0.88787
10,0.20000,0.89655,0.91257,0.87034,0.88457
10,0.40000,0.89237,0.90555,0.86695,0.88029
10,0.50000,0.89242,0.91154,0.86378,0.87925
10,0.60000,0.89449,0.91300,0.86649,0.88173
10,0.80000,0.89034,0.91082,0.86100,0.87667
11,0.20000,0.91100,0.91931,0.89165,0.90224
11,0.40000,0.90683,0.91442,0.88720,0.89761
11,0.50000,0.89650,0.90663,0.87350,0.88555
11,0.60000,0.89652,0.90851,0.87245,0.88527
11,0.80000,0.89654,0.91059,0.87139,0.88498
12,0.20000,0.91313,0.92822,0.89014,0.90364
12,0.40000,0.90485,0.92459,0.87804,0.89360
12,0.50000,0.90072,0.92185,0.87254,0.88862
12,0.60000,0.89450,0.91568,0.86540,0.88156
12,0.80000,0.88829,0.90662,0.85935,0.87470
13,0.20000,0.91725,0.92405,0.89998,0.90942
13,0.40000,0.91523,0.92618,0.89510,0.90660
13,0.50000,0.90695,0.91884,0.88522,0.89711
13,0.60000,0.90485,0.91605,0.88356,0.89501
13,0.80000,0.89242,0.90134,0.87037,0.88116
14,0.20000,0.91320,0.92642,0.89133,0.90380
14,0.40000,0.90492,0.92239,0.87923,0.89385
14,0.50000,0.90075,0.91780,0.87479,0.88911
14,0.60000,0.89662,0.91485,0.86935,0.88418
14,0.80000,0.89455,0.91591,0.86556,0.88108
15,0.20000,0.91522,0.92453,0.89621,0.90665
15,0.40000,0.91114,0.92357,0.88973,0.90152
15,0.50000,0.90693,0.92004,0.88411,0.89662
15,0.60000,0.89864,0.91020,0.87528,0.88748
