K,Alpha,Accuracy,Precision,Recall,F1 score
1,0.20000,0.87388,0.87244,0.86093,0.86439
1,0.40000,0.87388,0.87126,0.86204,0.86465
1,0.50000,0.87801,0.87576,0.86637,0.86920
1,0.60000,0.88007,0.87792,0.86801,0.87129
1,0.80000,0.87382,0.86944,0.86297,0.86484
2,0.20000,0.85924,0.88376,0.82309,0.83920
2,0.40000,0.86339,0.89253,0.82648,0.84301
2,0.50000,0.86341,0.89236,0.82648,0.84321
2,0.60000,0.86961,0.89670,0.83469,0.85097
2,0.80000,0.87169,0.89841,0.83747,0.85339
3,0.20000,0.87382,0.88121,0.85003,0.86044
3,0.40000,0.87997,0.88960,0.85604,0.86706
3,0.50000,0.88410,0.89312,0.86154,0.87188
3,0.60000,0.88205,0.88902,0.86096,0.87018
3,0.80000,0.87171,0.87796,0.84938,0.85858
4,0.20000,0.86754,0.89507,0.83080,0.84798
4,0.40000,0.87789,0.90421,0.84344,0.86083
4,0.50000,0.87995,0.90643,0.84616,0.86341
4,0.60000,0.87575,0.90128,0.84165,0.85880
4,0.80000,0.88405,0.90526,0.85378,0.86915
5,0.20000,0.88812,0.90034,0.86242,0.87524
5,0.40000,0.87989,0.88937,0.85479,0.86675
5,0.50000,0.88614,0.89739,0.86090,0.87354
5,0.60000,0.89030,0.90169,0.86642,0.87845
5,0.80000,0.89447,0.90498,0.87191,0.88354
6,0.20000,0.86334,0.88714,0.82735,0.84400
6,0.40000,0.86955,0.89146,0.83556,0.85167
6,0.50000,0.87787,0.90047,0.84546,0.86181
6,0.60000,0.87992,0.90430,0.84711,0.86371
6,0.80000,0.87580,0.89516,0.84491,0.86010
7,0.20000,0.87364,0.88924,0.84427,0.85810
7,0.40000,0.88195,0.89495,0.85528,0.86819
7,0.50000,0.88608,0.89892,0.86078,0.87330
7,0.60000,0.88610,0.89853,0.86078,0.87330
7,0.80000,0.88815,0.90012,0.86350,0.87570
8,0.20000,0.86957,0.89779,0.83340,0.85053
8,0.40000,0.87167,0.89891,0.83618,0.85331
8,0.50000,0.87787,0.90288,0.84439,0.86117
8,0.60000,0.88205,0.90329,0.85106,0.86694
8,0.80000,0.88412,0.90484,0.85374,0.86953
9,0.20000,0.87577,0.89433,0.84596,0.86023
9,0.40000,0.87990,0.89897,0.85038,0.86503
9,0.50000,0.88407,0.89764,0.85806,0.87107
9,0.60000,0.88824,0.90119,0.86362,0.87592
9,0.80000,0.89445,0.90731,0.87078,0.88290
10,0.20000,0.86957,0.89763,0.83340,0.85077
10,0.40000,0.87370,0.90521,0.83673,0.85505
10,0.50000,0.88202,0.90980,0.84773,0.86562
10,0.60000,0.88619,0.91049,0.85435,0.87112
10,0.80000,0.89237,0.91683,0.86149,0.87818
11,0.20000,0.87377,0.89598,0.84114,0.85687
11,0.40000,0.88204,0.90338,0.85096,0.86673
11,0.50000,0.88409,0.90393,0.85374,0.86946
11,0.60000,0.88825,0.90889,0.85818,0.87412
11,0.80000,0.89030,0.91054,0.86090,0.87643
12,0.20000,0.86756,0.90103,0.82858,0.84718
12,0.40000,0.87580,0.90590,0.83945,0.85775
12,0.50000,0.88205,0.90956,0.84779,0.86571
12,0.60000,0.88205,0.90470,0.84997,0.86644
12,0.80000,0.88825,0.91108,0.85711,0.87347
13,0.20000,0.87174,0.89598,0.83737,0.85410
13,0.40000,0.89242,0.91419,0.86266,0.87884
13,0.50000,0.89034,0.90640,0.86318,0.87735
13,0.60000,0.88824,0.90523,0.86040,0.87490
13,0.80000,0.89030,0.90491,0.86417,0.87751
14,0.20000,0.86551,0.89917,0.82587,0.84478
14,0.40000,0.87172,0.90304,0.83414,0.85274
14,0.50000,0.87794,0.90453,0.84342,0.86112
14,0.60000,0.87586,0.90086,0.84176,0.85897
14,0.80000,0.87580,0.89812,0.84275,0.85934
15,0.20000,0.87582,0.90107,0.84173,0.85891
15,0.40000,0.88202,0.90140,0.85213,0.86734
15,0.50000,0.87577,0.89024,0.84713,0.86093
15,0.60000,0.87579,0.89015,0.84713,0.86095
15,0.80000,0.87992,0.89455,0.85152,0.86557
16,0.20000,0.86966,0.90429,0.83031,0.84967
16,0.40000,0.87995,0.90864,0.84507,0.86319
16,0.50000,0.87997,0.90578,0.84618,0.86355
16,0.60000,0.88415,0.90828,0.85170,0.86867
16,0.80000,0.87995,0.90299,0.84723,0.86399
17,0.20000,0.87587,0.90133,0.84182,0.85889
17,0.40000,0.88615,0.90765,0.85550,0.87164
17,0.50000,0.88824,0.90299,0.86152,0.87520
17,0.60000,0.89240,0.90768,0.86596,0.87976
17,0.80000,0.89445,0.90926,0.86868,0.88203
18,0.20000,0.86766,0.90895,0.82553,0.84556
18,0.40000,0.87172,0.90302,0.83418,0.85252
18,0.50000,0.87586,0.90597,0.83967,0.85776
18,0.60000,0.88620,0.91247,0.85338,0.87064
18,0.80000,0.89239,0.91613,0.86159,0.87819
19,0.20000,0.88626,0.91521,0.85239,0.87019
19,0.40000,0.88824,0.90996,0.85832,0.87394
19,0.50000,0.88824,0.90996,0.85832,0.87394
19,0.60000,0.89030,0.91118,0.86104,0.87647
19,0.80000,0.89657,0.91298,0.87044,0.88401
20,0.20000,0.87592,0.91488,0.83650,0.85581
20,0.40000,0.88211,0.91279,0.84689,0.86504
20,0.50000,0.88417,0.91399,0.84961,0.86760
20,0.60000,0.89245,0.92135,0.85949,0.87744
20,0.80000,0.88829,0.91398,0.85616,0.87311
21,0.20000,0.87587,0.90697,0.83971,0.85738
21,0.40000,0.88619,0.90674,0.85671,0.87162
21,0.50000,0.89449,0.91584,0.86548,0.88092
21,0.60000,0.89240,0.91225,0.86381,0.87880
21,0.80000,0.89244,0.91457,0.86276,0.87829
22,0.20000,0.87796,0.91545,0.83915,0.85858
22,0.40000,0.88415,0.91631,0.84850,0.86725
22,0.50000,0.89037,0.92015,0.85671,0.87482
22,0.60000,0.89452,0.92495,0.86110,0.87950
22,0.80000,0.89245,0.91895,0.86060,0.87750
23,0.20000,0.88211,0.91536,0.84576,0.86414
23,0.40000,0.89242,0.91874,0.86054,0.87773
23,0.50000,0.89452,0.92285,0.86221,0.87975
23,0.60000,0.89659,0.92344,0.86493,0.88224
23,0.80000,0.89452,0.92020,0.86332,0.87999
24,0.20000,0.88007,0.91699,0.84199,0.86091
24,0.40000,0.88626,0.91990,0.85017,0.86933
24,0.50000,0.88421,0.91866,0.84745,0.86661
24,0.60000,0.89040,0.92244,0.85566,0.87433
24,0.80000,0.89249,0.92103,0.85955,0.87702
25,0.20000,0.88832,0.91908,0.85403,0.87184
25,0.40000,0.88209,0.91187,0.84683,0.86504
25,0.50000,0.89040,0.91965,0.85677,0.87461
25,0.60000,0.89249,0.92103,0.85955,0.87702
25,0.80000,0.89454,0.91983,0.86338,0.88017
26,0.20000,0.87804,0.91609,0.83934,0.85793
26,0.40000,0.88007,0.91331,0.84307,0.86168
26,0.50000,0.88424,0.91596,0.84862,0.86659
26,0.60000,0.88631,0.91719,0.85134,0.86912
26,0.80000,0.89249,0.92098,0.85955,0.87723
27,0.20000,0.89046,0.92340,0.85582,0.87368
27,0.40000,0.88632,0.91485,0.85251,0.86925
27,0.50000,0.89251,0.91706,0.86183,0.87749
27,0.60000,0.89252,0.91705,0.86183,0.87730
27,0.80000,0.89662,0.91937,0.86721,0.88283
28,0.20000,0.87596,0.91478,0.83656,0.85527
28,0.40000,0.88636,0.92142,0.85039,0.86773
28,0.50000,0.88632,0.91734,0.85140,0.86900
28,0.60000,0.88636,0.91745,0.85146,0.86880
28,0.80000,0.88427,0.91358,0.84973,0.86657
29,0.20000,0.88427,0.91996,0.84761,0.86555
29,0.40000,0.88842,0.91631,0.85529,0.87156
29,0.50000,0.89461,0.92253,0.86239,0.87930
29,0.60000,0.89047,0.91989,0.85689,0.87415
29,0.80000,0.88841,0.91375,0.85634,0.87224
