K,Accuracy,Precision,Recall,F1 score
1,0.87578,0.87276,0.86232,0.86609
2,0.85093,0.87913,0.81089,0.82739
3,0.87164,0.87656,0.84813,0.85811
4,0.86335,0.89260,0.82520,0.84238
5,0.88406,0.89584,0.85919,0.87089
6,0.86128,0.88887,0.82462,0.84141
7,0.87578,0.88710,0.84928,0.86167
8,0.86542,0.89744,0.82686,0.84488
9,0.88199,0.90151,0.85210,0.86735
10,0.86335,0.89522,0.82411,0.84259
11,0.86749,0.89041,0.83286,0.84955
12,0.86128,0.89682,0.82028,0.83950
13,0.86749,0.89593,0.83069,0.84847
14,0.85714,0.89298,0.81587,0.83419
15,0.86128,0.88946,0.82354,0.84073
16,0.85714,0.89485,0.81478,0.83354
17,0.86749,0.90146,0.82852,0.84692
18,0.86128,0.90647,0.81702,0.83699
19,0.86957,0.90609,0.83018,0.84894
20,0.86128,0.90647,0.81702,0.83699
21,0.87578,0.90644,0.83951,0.85767
22,0.86335,0.90429,0.82085,0.84070
23,0.87164,0.90640,0.83293,0.85175
24,0.86749,0.90656,0.82635,0.84615
25,0.87578,0.90660,0.83951,0.85772
26,0.86957,0.90740,0.82910,0.84897
27,0.87578,0.91140,0.83734,0.85675
28,0.86957,0.91372,0.82692,0.84750
29,0.87785,0.91541,0.83900,0.85888
30,0.87164,0.91471,0.82967,0.85047
31,0.88406,0.91893,0.84724,0.86676
32,0.87164,0.91487,0.82967,0.85013
33,0.88199,0.91795,0.84449,0.86380
34,0.86749,0.91269,0.82418,0.84459
