K,Accuracy,Precision,Recall,F1 score
1,0.68076,0.65582,0.65000,0.65071
2,0.68230,0.66045,0.60051,0.59684
3,0.70230,0.67842,0.66880,0.67136
4,0.70845,0.69348,0.64345,0.64820
5,0.72373,0.70120,0.69290,0.69492
6,0.72673,0.70745,0.67260,0.67806
7,0.74053,0.72104,0.70783,0.71112
8,0.73435,0.71922,0.68130,0.68735
9,0.72516,0.70267,0.68932,0.69282
10,0.72830,0.70663,0.68132,0.68637
11,0.73286,0.70950,0.70000,0.70218
12,0.72825,0.70692,0.67762,0.68322
13,0.74210,0.72044,0.70343,0.70688
14,0.75285,0.73847,0.70331,0.70953
15,0.75130,0.73138,0.71137,0.71483
16,0.74215,0.72819,0.68926,0.69504
17,0.75285,0.73360,0.71081,0.71508
18,0.74063,0.72503,0.68818,0.69429
19,0.74667,0.72467,0.70598,0.71019
20,0.74068,0.72431,0.68841,0.69591
21,0.73148,0.70759,0.68868,0.69367
22,0.74068,0.72174,0.69112,0.69729
23,0.72996,0.70623,0.68846,0.69299
24,0.72989,0.70798,0.68088,0.68680
25,0.73453,0.71345,0.69220,0.69801
26,0.72693,0.70733,0.67590,0.68152
27,0.73304,0.71304,0.68919,0.69518
28,0.73607,0.71944,0.68679,0.69373
29,0.72997,0.71013,0.68482,0.69010
