K,Alpha,Accuracy,Precision,Recall,F1 score
1,0.20000,0.69772,0.67069,0.66438,0.66505
1,0.40000,0.68547,0.65564,0.64921,0.64940
1,0.50000,0.67781,0.64740,0.64233,0.64271
1,0.60000,0.68089,0.65266,0.64759,0.64789
1,0.80000,0.67935,0.65048,0.64825,0.64756
2,0.20000,0.68855,0.66279,0.60646,0.60097
2,0.40000,0.68396,0.65885,0.59728,0.58937
2,0.50000,0.69012,0.67086,0.60305,0.59579
2,0.60000,0.69164,0.67102,0.60705,0.60189
2,0.80000,0.68089,0.65043,0.59679,0.58999
3,0.20000,0.71763,0.69184,0.67899,0.68199
3,0.40000,0.71914,0.69261,0.67635,0.68055
3,0.50000,0.70530,0.67547,0.66457,0.66676
3,0.60000,0.70071,0.66958,0.65913,0.66081
3,0.80000,0.70528,0.67520,0.66556,0.66755
4,0.20000,0.70084,0.67553,0.63299,0.63516
4,0.40000,0.70231,0.67626,0.63315,0.63416
4,0.50000,0.69465,0.66471,0.62343,0.62320
4,0.60000,0.69465,0.66529,0.62251,0.62207
4,0.80000,0.69315,0.66419,0.62231,0.62338
5,0.20000,0.72537,0.70039,0.69065,0.69346
5,0.40000,0.71311,0.68644,0.67548,0.67841
5,0.50000,0.69924,0.66904,0.65990,0.66206
5,0.60000,0.70536,0.67486,0.66277,0.66477
5,0.80000,0.70848,0.67986,0.66530,0.66892
6,0.20000,0.72079,0.69864,0.66456,0.66987
6,0.40000,0.70690,0.68153,0.64521,0.64778
6,0.50000,0.70075,0.67125,0.63663,0.63765
6,0.60000,0.69926,0.67185,0.63175,0.63242
6,0.80000,0.69766,0.66777,0.63043,0.63114
7,0.20000,0.72386,0.69938,0.69040,0.69263
7,0.40000,0.72230,0.69796,0.68447,0.68799
7,0.50000,0.72077,0.69631,0.68233,0.68558
7,0.60000,0.71311,0.68709,0.67259,0.67587
7,0.80000,0.72074,0.69546,0.67849,0.68156
8,0.20000,0.72998,0.71067,0.67729,0.68332
8,0.40000,0.72377,0.70501,0.66401,0.66962
8,0.50000,0.71919,0.69857,0.65760,0.66187
8,0.60000,0.70997,0.68419,0.64567,0.64700
8,0.80000,0.71456,0.69127,0.65021,0.65284
9,0.20000,0.71769,0.69232,0.67521,0.67898
9,0.40000,0.72230,0.69808,0.67605,0.68130
9,0.50000,0.71927,0.69597,0.66991,0.67506
9,0.60000,0.72380,0.69988,0.67529,0.68032
9,0.80000,0.71925,0.69518,0.66988,0.67456
10,0.20000,0.72075,0.69934,0.66258,0.66786
10,0.40000,0.71462,0.69138,0.65403,0.65826
10,0.50000,0.71460,0.69199,0.65309,0.65735
10,0.60000,0.71614,0.69468,0.65336,0.65792
10,0.80000,0.71005,0.68778,0.64484,0.64810
11,0.20000,0.72847,0.70444,0.68655,0.69161
11,0.40000,0.72230,0.69783,0.67509,0.68004
11,0.50000,0.72540,0.70319,0.67658,0.68195
11,0.60000,0.71624,0.69252,0.66288,0.66820
11,0.80000,0.71932,0.69745,0.66531,0.67087
12,0.20000,0.72380,0.70218,0.66686,0.67258
12,0.40000,0.72996,0.71288,0.67169,0.67872
12,0.50000,0.72535,0.70899,0.66337,0.66910
12,0.60000,0.72533,0.71267,0.65865,0.66391
12,0.80000,0.71618,0.69926,0.64874,0.65324
13,0.20000,0.73611,0.71461,0.69156,0.69819
13,0.40000,0.72378,0.69872,0.67719,0.68236
13,0.50000,0.72382,0.69978,0.67631,0.68219
13,0.60000,0.71769,0.69320,0.66400,0.66968
13,0.80000,0.71624,0.69331,0.66014,0.66571
14,0.20000,0.72388,0.70620,0.66232,0.66918
14,0.40000,0.71618,0.69589,0.65253,0.65794
14,0.50000,0.72382,0.71033,0.65754,0.66381
14,0.60000,0.72691,0.71611,0.66000,0.66691
14,0.80000,0.73306,0.72714,0.66575,0.67346
15,0.20000,0.72700,0.70465,0.67889,0.68514
15,0.40000,0.73310,0.71403,0.68172,0.68913
15,0.50000,0.74230,0.72588,0.69176,0.69994
15,0.60000,0.73617,0.71912,0.68224,0.69011
15,0.80000,0.73156,0.71426,0.67588,0.68366
16,0.20000,0.73005,0.71249,0.67282,0.68026
16,0.40000,0.73615,0.72397,0.67565,0.68386
16,0.50000,0.73922,0.73098,0.67619,0.68504
16,0.60000,0.73924,0.73435,0.67339,0.68222
16,0.80000,0.73310,0.72749,0.66577,0.67352
17,0.20000,0.73468,0.71448,0.68588,0.69324
17,0.40000,0.73163,0.71229,0.67974,0.68706
17,0.50000,0.74078,0.72559,0.68781,0.69612
17,0.60000,0.74691,0.73235,0.69541,0.70421
17,0.80000,0.74541,0.73538,0.68760,0.69634
18,0.20000,0.73314,0.71726,0.67618,0.68425
18,0.40000,0.73007,0.71634,0.66817,0.67594
18,0.50000,0.72388,0.71116,0.65667,0.66290
18,0.60000,0.73461,0.72617,0.66881,0.67656
18,0.80000,0.74076,0.73983,0.67267,0.68085
19,0.20000,0.73615,0.71648,0.68787,0.69530
19,0.40000,0.73775,0.72102,0.68449,0.69286
19,0.50000,0.73159,0.71245,0.67871,0.68638
19,0.60000,0.73619,0.72018,0.68042,0.68846
19,0.80000,0.75147,0.74303,0.69417,0.70417
20,0.20000,0.72851,0.71059,0.67162,0.67940
20,0.40000,0.72702,0.71235,0.66481,0.67217
20,0.50000,0.72696,0.71267,0.66377,0.67070
20,0.60000,0.71780,0.70081,0.65200,0.65802
20,0.80000,0.73308,0.72833,0.66385,0.67150
21,0.20000,0.73613,0.71566,0.68878,0.69606
21,0.40000,0.73161,0.71281,0.67873,0.68660
21,0.50000,0.74080,0.72391,0.68968,0.69818
21,0.60000,0.73773,0.72099,0.68448,0.69290
21,0.80000,0.73769,0.72656,0.67685,0.68539
22,0.20000,0.73314,0.71801,0.67520,0.68349
22,0.40000,0.73470,0.72379,0.67268,0.68125
22,0.50000,0.73470,0.72330,0.67270,0.68122
22,0.60000,0.73773,0.73316,0.67126,0.67977
22,0.80000,0.72235,0.71395,0.64981,0.65491
23,0.20000,0.73468,0.71397,0.68772,0.69501
23,0.40000,0.73472,0.71799,0.68024,0.68859
23,0.50000,0.73316,0.71602,0.67807,0.68629
23,0.60000,0.73009,0.71307,0.67287,0.68089
23,0.80000,0.72698,0.71327,0.66376,0.67070
24,0.20000,0.72700,0.70837,0.67044,0.67814
24,0.40000,0.73314,0.72096,0.67144,0.67966
24,0.50000,0.73159,0.72009,0.66835,0.67639
24,0.60000,0.73158,0.72399,0.66453,0.67205
24,0.80000,0.72542,0.71683,0.65504,0.66120
25,0.20000,0.73161,0.71023,0.68437,0.69141
25,0.40000,0.73624,0.71960,0.68236,0.69072
25,0.50000,0.73622,0.72227,0.67856,0.68716
25,0.60000,0.73622,0.72203,0.67858,0.68715
25,0.80000,0.73466,0.72503,0.67077,0.67922
26,0.20000,0.73624,0.72408,0.67581,0.68443
26,0.40000,0.73775,0.72963,0.67413,0.68298
26,0.50000,0.73769,0.73047,0.67309,0.68165
26,0.60000,0.73005,0.72133,0.66336,0.67091
26,0.80000,0.73622,0.73663,0.66539,0.67331
27,0.20000,0.73013,0.71070,0.67670,0.68430
27,0.40000,0.75311,0.74378,0.69832,0.70847
27,0.50000,0.74543,0.73488,0.68854,0.69806
27,0.60000,0.73775,0.72524,0.67882,0.68769
27,0.80000,0.73318,0.72307,0.66960,0.67792
28,0.20000,0.73780,0.72569,0.67800,0.68651
28,0.40000,0.74697,0.74150,0.68513,0.69501
28,0.50000,0.74386,0.73823,0.68078,0.69035
28,0.60000,0.74230,0.74102,0.67483,0.68394
28,0.80000,0.73466,0.73481,0.66232,0.66954
29,0.20000,0.73318,0.71372,0.68190,0.68939
29,0.40000,0.74238,0.72898,0.68714,0.69627
29,0.50000,0.73777,0.72515,0.67886,0.68769
29,0.60000,0.73771,0.72926,0.67408,0.68279
29,0.80000,0.73775,0.73376,0.67037,0.67895
