K,Accuracy,Precision,Recall,F1 score
1,0.69310,0.66548,0.65691,0.65960
2,0.69307,0.67522,0.60975,0.60583
3,0.70993,0.68327,0.67360,0.67546
4,0.70379,0.67895,0.63199,0.63036
5,0.72056,0.69641,0.67806,0.68123
6,0.70508,0.68226,0.63484,0.63537
7,0.72966,0.70988,0.67934,0.68376
8,0.72204,0.70748,0.65560,0.65862
9,0.71284,0.68756,0.66447,0.66802
10,0.72208,0.70910,0.65767,0.66263
11,0.72523,0.70380,0.67988,0.68453
12,0.73757,0.73545,0.67262,0.67985
13,0.73455,0.72227,0.68151,0.68723
14,0.73598,0.73404,0.67033,0.67612
15,0.73600,0.72296,0.67980,0.68587
16,0.74365,0.74270,0.67723,0.68320
17,0.75135,0.74536,0.69278,0.69993
18,0.74371,0.75178,0.67467,0.68183
19,0.73750,0.73044,0.67728,0.68363
20,0.73451,0.73647,0.66652,0.67233
21,0.73141,0.72175,0.67077,0.67809
22,0.73298,0.73282,0.66539,0.67220
23,0.73607,0.72781,0.67626,0.68412
24,0.73460,0.73798,0.66666,0.67346
25,0.73147,0.72257,0.66990,0.67713
26,0.73917,0.74231,0.67019,0.67605
27,0.73610,0.72988,0.67247,0.67876
28,0.74836,0.75628,0.68015,0.68698
29,0.74533,0.74499,0.68158,0.68918
