K,Alpha,Accuracy,Precision,Recall,F1 score
1,0.20000,0.69460,0.66691,0.66191,0.66201
1,0.40000,0.69305,0.66253,0.65506,0.65621
1,0.50000,0.69463,0.66503,0.65822,0.65933
1,0.60000,0.69004,0.65972,0.65371,0.65471
1,0.80000,0.68543,0.65441,0.64730,0.64908
2,0.20000,0.68394,0.65483,0.60000,0.59242
2,0.40000,0.69307,0.66873,0.60989,0.60354
2,0.50000,0.69465,0.67321,0.61117,0.60557
2,0.60000,0.69770,0.67725,0.61543,0.61080
2,0.80000,0.69612,0.66998,0.61511,0.60995
3,0.20000,0.71767,0.69192,0.67806,0.68166
3,0.40000,0.72217,0.69639,0.68337,0.68590
3,0.50000,0.72064,0.69435,0.68406,0.68624
3,0.60000,0.71757,0.69031,0.67885,0.68151
3,0.80000,0.72062,0.69357,0.68124,0.68432
4,0.20000,0.69774,0.67184,0.62677,0.62739
4,0.40000,0.69618,0.66496,0.62550,0.62419
4,0.50000,0.69776,0.66686,0.62675,0.62515
4,0.60000,0.69930,0.66823,0.62984,0.62884
4,0.80000,0.69928,0.66827,0.62980,0.62831
5,0.20000,0.72075,0.69441,0.68237,0.68574
5,0.40000,0.71460,0.68715,0.67659,0.67906
5,0.50000,0.70540,0.67587,0.66377,0.66620
5,0.60000,0.70847,0.67976,0.66900,0.67175
5,0.80000,0.71611,0.68812,0.67587,0.67878
6,0.20000,0.72083,0.69967,0.66455,0.66975
6,0.40000,0.70229,0.67237,0.64061,0.64171
6,0.50000,0.70540,0.67993,0.64212,0.64389
6,0.60000,0.70690,0.68260,0.64235,0.64425
6,0.80000,0.70229,0.67691,0.63499,0.63590
7,0.20000,0.73464,0.71231,0.70167,0.70487
7,0.40000,0.72535,0.70094,0.68966,0.69218
7,0.50000,0.72841,0.70533,0.69110,0.69431
7,0.60000,0.73299,0.71046,0.69467,0.69850
7,0.80000,0.73451,0.71234,0.69303,0.69736
8,0.20000,0.72529,0.70353,0.67172,0.67725
8,0.40000,0.71146,0.68560,0.65339,0.65685
8,0.50000,0.70990,0.68487,0.64655,0.64968
8,0.60000,0.70990,0.68559,0.64560,0.64804
8,0.80000,0.71148,0.69096,0.64499,0.64819
9,0.20000,0.71923,0.69404,0.68110,0.68386
9,0.40000,0.72382,0.69911,0.68378,0.68794
9,0.50000,0.72994,0.70627,0.68951,0.69421
9,0.60000,0.72840,0.70455,0.68735,0.69183
9,0.80000,0.72077,0.69556,0.67671,0.68091
10,0.20000,0.71612,0.69186,0.65992,0.66530
10,0.40000,0.71919,0.69843,0.65855,0.66404
10,0.50000,0.71616,0.69491,0.65528,0.66084
10,0.60000,0.71616,0.69412,0.65526,0.66013
10,0.80000,0.71458,0.69312,0.64929,0.65314
11,0.20000,0.72843,0.70461,0.68647,0.69130
11,0.40000,0.72845,0.70545,0.68368,0.68929
11,0.50000,0.72996,0.70705,0.68483,0.69033
11,0.60000,0.73150,0.70893,0.68606,0.69211
11,0.80000,0.71927,0.69500,0.67089,0.67671
12,0.20000,0.72992,0.71015,0.67537,0.68177
12,0.40000,0.72843,0.71341,0.66671,0.67314
12,0.50000,0.73146,0.71741,0.66908,0.67600
12,0.60000,0.73301,0.71960,0.67123,0.67860
12,0.80000,0.73302,0.72217,0.66936,0.67623
13,0.20000,0.73611,0.71499,0.69058,0.69695
13,0.40000,0.74072,0.72172,0.69232,0.69956
13,0.50000,0.74375,0.72652,0.69281,0.70074
13,0.60000,0.73455,0.71538,0.68282,0.69040
13,0.80000,0.73455,0.71562,0.68380,0.69156
14,0.20000,0.73308,0.71817,0.67416,0.68142
14,0.40000,0.73927,0.72753,0.67996,0.68826
14,0.50000,0.73621,0.72729,0.67195,0.68000
14,0.60000,0.74078,0.73495,0.67642,0.68499
14,0.80000,0.73613,0.72805,0.67185,0.67961
15,0.20000,0.73161,0.70928,0.68532,0.69133
15,0.40000,0.73161,0.71174,0.67963,0.68629
15,0.50000,0.72853,0.71001,0.67158,0.67804
15,0.60000,0.73003,0.71229,0.67369,0.68076
15,0.80000,0.72845,0.70959,0.67339,0.68058
16,0.20000,0.73924,0.72180,0.68653,0.69378
16,0.40000,0.73312,0.71900,0.67235,0.67905
16,0.50000,0.73158,0.71804,0.66927,0.67607
16,0.60000,0.73769,0.72759,0.67497,0.68297
16,0.80000,0.73304,0.72109,0.66945,0.67685
17,0.20000,0.73312,0.71132,0.68648,0.69312
17,0.40000,0.73310,0.71403,0.68080,0.68778
17,0.50000,0.73922,0.72224,0.68650,0.69410
17,0.60000,0.74377,0.72786,0.69191,0.69975
17,0.80000,0.73611,0.71923,0.68220,0.68982
18,0.20000,0.73158,0.71355,0.67677,0.68424
18,0.40000,0.73464,0.72079,0.67538,0.68320
18,0.50000,0.73457,0.72176,0.67340,0.68090
18,0.60000,0.74225,0.73429,0.68036,0.68909
18,0.80000,0.73767,0.72859,0.67494,0.68325
19,0.20000,0.73771,0.71787,0.69096,0.69815
19,0.40000,0.73154,0.71185,0.67956,0.68709
19,0.50000,0.73765,0.72044,0.68431,0.69224
19,0.60000,0.73922,0.72153,0.68835,0.69621
19,0.80000,0.74531,0.73150,0.69123,0.69996
20,0.20000,0.73154,0.71497,0.67484,0.68270
20,0.40000,0.73159,0.71836,0.67021,0.67796
20,0.50000,0.73615,0.72397,0.67563,0.68378
20,0.60000,0.73310,0.72141,0.67046,0.67847
20,0.80000,0.73764,0.73028,0.67301,0.68131
21,0.20000,0.73156,0.70964,0.68614,0.69267
21,0.40000,0.74078,0.72211,0.69338,0.70113
21,0.50000,0.74539,0.72997,0.69507,0.70368
21,0.60000,0.74994,0.73581,0.69956,0.70860
21,0.80000,0.74994,0.73989,0.69484,0.70423
22,0.20000,0.73464,0.71768,0.68012,0.68830
22,0.40000,0.73624,0.72340,0.67671,0.68531
22,0.50000,0.74695,0.73827,0.68878,0.69850
22,0.60000,0.73927,0.72923,0.67813,0.68704
22,0.80000,0.74076,0.73475,0.67644,0.68531
23,0.20000,0.73769,0.71784,0.69095,0.69838
23,0.40000,0.74842,0.73229,0.70027,0.70882
23,0.50000,0.74537,0.72903,0.69603,0.70465
23,0.60000,0.75151,0.73739,0.70175,0.71094
23,0.80000,0.74537,0.73219,0.69227,0.70144
24,0.20000,0.72856,0.71045,0.67170,0.67943
24,0.40000,0.73925,0.72570,0.68188,0.69069
24,0.50000,0.73621,0.72406,0.67579,0.68438
24,0.60000,0.74543,0.73823,0.68483,0.69463
24,0.80000,0.74539,0.74229,0.68102,0.69082
25,0.20000,0.73771,0.71813,0.69003,0.69761
25,0.40000,0.74533,0.72877,0.69594,0.70423
25,0.50000,0.74386,0.72972,0.69016,0.69925
25,0.60000,0.74699,0.73457,0.69264,0.70213
25,0.80000,0.75154,0.74349,0.69427,0.70443
26,0.20000,0.74236,0.73059,0.68432,0.69343
26,0.40000,0.73773,0.72666,0.67695,0.68581
26,0.50000,0.74082,0.73331,0.67845,0.68766
26,0.60000,0.73931,0.73311,0.67446,0.68332
26,0.80000,0.75000,0.75328,0.68273,0.69286
27,0.20000,0.73619,0.71717,0.68606,0.69395
27,0.40000,0.73468,0.71766,0.68019,0.68845
27,0.50000,0.73318,0.71667,0.67715,0.68545
27,0.60000,0.73626,0.72309,0.67768,0.68643
27,0.80000,0.74693,0.73948,0.68691,0.69668
28,0.20000,0.73767,0.72411,0.67968,0.68832
28,0.40000,0.73622,0.72496,0.67487,0.68346
28,0.50000,0.73470,0.72159,0.67463,0.68304
28,0.60000,0.74240,0.73725,0.67782,0.68695
28,0.80000,0.74543,0.74555,0.67828,0.68767
29,0.20000,0.73312,0.71241,0.68462,0.69187
29,0.40000,0.73624,0.71918,0.68238,0.69062
29,0.50000,0.73161,0.71425,0.67594,0.68406
29,0.60000,0.73314,0.71764,0.67525,0.68354
29,0.80000,0.73777,0.72670,0.67697,0.68584
