K,Alpha,Accuracy,Precision,Recall,F1 score
1,0.20000,0.68392,0.65492,0.65179,0.65105
1,0.40000,0.68086,0.65116,0.64659,0.64746
1,0.50000,0.68240,0.65325,0.64967,0.65005
1,0.60000,0.68088,0.65132,0.64660,0.64733
1,0.80000,0.67162,0.63979,0.63465,0.63571
2,0.20000,0.68396,0.65405,0.59919,0.59180
2,0.40000,0.69160,0.66993,0.60701,0.60124
2,0.50000,0.69158,0.66684,0.60885,0.60406
2,0.60000,0.69311,0.66877,0.61097,0.60659
2,0.80000,0.69157,0.66701,0.60879,0.60368
3,0.20000,0.70225,0.67143,0.66131,0.66365
3,0.40000,0.71146,0.68281,0.67037,0.67317
3,0.50000,0.70841,0.67913,0.66801,0.67057
3,0.60000,0.71146,0.68237,0.66941,0.67227
3,0.80000,0.71452,0.68631,0.67369,0.67658
4,0.20000,0.68852,0.65470,0.61582,0.61452
4,0.40000,0.69618,0.66619,0.62555,0.62589
4,0.50000,0.69313,0.66000,0.62317,0.62267
4,0.60000,0.69772,0.66555,0.62954,0.62914
4,0.80000,0.69774,0.66621,0.62955,0.62902
5,0.20000,0.70536,0.67428,0.65999,0.66225
5,0.40000,0.70382,0.67236,0.66062,0.66218
5,0.50000,0.70233,0.67186,0.65950,0.66187
5,0.60000,0.71001,0.68083,0.66927,0.67192
5,0.80000,0.72070,0.69358,0.68228,0.68513
6,0.20000,0.69917,0.67150,0.63161,0.63260
6,0.40000,0.70231,0.67814,0.63601,0.63730
6,0.50000,0.70841,0.68683,0.64170,0.64411
6,0.60000,0.71144,0.69044,0.64497,0.64741
6,0.80000,0.70993,0.68621,0.64472,0.64709
7,0.20000,0.72533,0.70067,0.68210,0.68629
7,0.40000,0.72220,0.69683,0.67679,0.68019
7,0.50000,0.71763,0.69093,0.67324,0.67634
7,0.60000,0.71765,0.69069,0.67233,0.67537
7,0.80000,0.72838,0.70385,0.68539,0.68913
8,0.20000,0.71452,0.69450,0.64642,0.64917
8,0.40000,0.71304,0.69074,0.64809,0.65182
8,0.50000,0.71150,0.68883,0.64593,0.64939
8,0.60000,0.71150,0.68867,0.64686,0.64976
8,0.80000,0.71456,0.69353,0.64833,0.65150
9,0.20000,0.72234,0.69928,0.67233,0.67807
9,0.40000,0.71612,0.69041,0.66557,0.67078
9,0.50000,0.71614,0.69082,0.66555,0.67044
9,0.60000,0.71611,0.68989,0.66551,0.67003
9,0.80000,0.72226,0.69736,0.67407,0.67809
10,0.20000,0.71153,0.68850,0.64596,0.64900
10,0.40000,0.71609,0.69451,0.65042,0.65367
10,0.50000,0.71914,0.69767,0.65468,0.65834
10,0.60000,0.71763,0.69706,0.65165,0.65529
10,0.80000,0.72218,0.70293,0.65611,0.65931
11,0.20000,0.71774,0.69442,0.66217,0.66715
11,0.40000,0.72079,0.69784,0.66922,0.67449
11,0.50000,0.72380,0.70142,0.67248,0.67787
11,0.60000,0.72841,0.70670,0.67798,0.68423
11,0.80000,0.74070,0.72158,0.69323,0.70034
12,0.20000,0.71309,0.69360,0.64255,0.64442
12,0.40000,0.70999,0.68901,0.64104,0.64400
12,0.50000,0.71767,0.70136,0.64984,0.65423
12,0.60000,0.72537,0.71315,0.65870,0.66481
12,0.80000,0.72841,0.71763,0.66293,0.66929
13,0.20000,0.72390,0.70320,0.66986,0.67614
13,0.40000,0.73466,0.71632,0.68299,0.69095
13,0.50000,0.73615,0.71834,0.68411,0.69215
13,0.60000,0.73306,0.71463,0.67982,0.68775
13,0.80000,0.73455,0.71428,0.68565,0.69307
14,0.20000,0.71771,0.70584,0.64810,0.65350
14,0.40000,0.73462,0.72853,0.66791,0.67615
14,0.50000,0.73001,0.72261,0.66148,0.66881
14,0.60000,0.73306,0.72643,0.66575,0.67370
14,0.80000,0.73301,0.72777,0.66468,0.67206
15,0.20000,0.72695,0.71051,0.66845,0.67561
15,0.40000,0.74541,0.73181,0.69235,0.70129
15,0.50000,0.74228,0.72713,0.68989,0.69847
15,0.60000,0.73306,0.71588,0.67892,0.68689
15,0.80000,0.73765,0.72358,0.68057,0.68898
16,0.20000,0.73767,0.73848,0.66743,0.67525
16,0.40000,0.73617,0.73281,0.66819,0.67639
16,0.50000,0.73767,0.73350,0.67027,0.67837
16,0.60000,0.73306,0.72651,0.66572,0.67332
16,0.80000,0.73924,0.73422,0.67434,0.68318
17,0.20000,0.75152,0.74369,0.69428,0.70431
17,0.40000,0.73457,0.71835,0.67914,0.68743
17,0.50000,0.74225,0.72961,0.68701,0.69528
17,0.60000,0.74230,0.73122,0.68521,0.69409
17,0.80000,0.74223,0.72834,0.68697,0.69553
18,0.20000,0.73154,0.72711,0.66172,0.66883
18,0.40000,0.72075,0.70913,0.64951,0.65458
18,0.50000,0.72077,0.71081,0.64859,0.65381
18,0.60000,0.73302,0.72717,0.66377,0.67094
18,0.80000,0.74227,0.74077,0.67476,0.68333
19,0.20000,0.74225,0.73159,0.68322,0.69249
19,0.40000,0.74078,0.72881,0.68212,0.69100
19,0.50000,0.73613,0.72441,0.67564,0.68400
19,0.60000,0.74533,0.73397,0.68846,0.69701
19,0.80000,0.73613,0.72255,0.67845,0.68674
20,0.20000,0.73306,0.73200,0.66098,0.66774
20,0.40000,0.73158,0.73032,0.65991,0.66714
20,0.50000,0.73619,0.73592,0.66539,0.67333
20,0.60000,0.74078,0.74098,0.67178,0.68062
20,0.80000,0.73617,0.73053,0.66907,0.67698
21,0.20000,0.73615,0.72675,0.67284,0.68119
21,0.40000,0.74844,0.74252,0.68807,0.69793
21,0.50000,0.75152,0.74569,0.69238,0.70255
21,0.60000,0.74078,0.73280,0.67928,0.68854
21,0.80000,0.73619,0.72333,0.67663,0.68509
22,0.20000,0.73306,0.73172,0.66098,0.66760
22,0.40000,0.73773,0.73980,0.66652,0.67426
22,0.50000,0.73925,0.74060,0.66866,0.67675
22,0.60000,0.73771,0.73629,0.66841,0.67663
22,0.80000,0.74072,0.73895,0.67263,0.68129
23,0.20000,0.73466,0.72618,0.66982,0.67799
23,0.40000,0.73925,0.73254,0.67523,0.68393
23,0.50000,0.74232,0.73600,0.67953,0.68861
23,0.60000,0.74078,0.73362,0.67830,0.68696
23,0.80000,0.73775,0.72543,0.67879,0.68756
24,0.20000,0.72851,0.72418,0.65652,0.66285
24,0.40000,0.73005,0.72998,0.65584,0.66182
24,0.50000,0.73310,0.73466,0.65917,0.66581
24,0.60000,0.74385,0.74767,0.67322,0.68184
24,0.80000,0.74844,0.75070,0.68147,0.69138
