K,Accuracy,Precision,Recall,F1 score
1,0.68387,0.65734,0.65155,0.65241
2,0.69616,0.67997,0.61613,0.61430
3,0.69913,0.67041,0.65858,0.66102
4,0.69162,0.66700,0.61631,0.61617
5,0.70995,0.68488,0.66241,0.66599
6,0.71438,0.70358,0.64329,0.64747
7,0.72072,0.69937,0.67184,0.67773
8,0.72366,0.71271,0.65524,0.66075
9,0.71910,0.69773,0.66666,0.67210
10,0.72208,0.71380,0.65100,0.65371
11,0.71610,0.69472,0.66431,0.66876
12,0.71922,0.70845,0.65370,0.65829
13,0.72080,0.70563,0.66343,0.66901
14,0.72830,0.72592,0.66068,0.66598
15,0.71915,0.70206,0.66016,0.66547
16,0.72682,0.72949,0.65489,0.65947
17,0.71917,0.70338,0.65544,0.66037
18,0.72221,0.71709,0.65030,0.65390
19,0.72680,0.72006,0.66137,0.66649
20,0.72224,0.72782,0.64564,0.64736
21,0.73141,0.72441,0.66695,0.67345
22,0.72072,0.71758,0.64646,0.65025
23,0.72847,0.72120,0.66483,0.67150
24,0.73916,0.74980,0.66740,0.67310
25,0.73914,0.73820,0.67489,0.68254
26,0.73152,0.73999,0.65679,0.66067
27,0.73301,0.73301,0.66450,0.67081
28,0.73000,0.74116,0.65468,0.65977
29,0.74381,0.74983,0.67670,0.68385
