K,Accuracy,Precision,Recall,F1 score
1,0.79795,0.79955,0.79200,0.79301
2,0.78166,0.78753,0.78716,0.78052
3,0.81351,0.82107,0.80514,0.80593
4,0.81309,0.81611,0.81522,0.81092
5,0.82509,0.83348,0.81624,0.81665
6,0.82124,0.82568,0.81818,0.81598
7,0.82917,0.83853,0.82007,0.82104
8,0.81779,0.82465,0.81272,0.81172
9,0.84086,0.85345,0.83151,0.83320
10,0.84827,0.85316,0.84509,0.84399
11,0.83293,0.84376,0.82427,0.82533
12,0.83303,0.83789,0.82792,0.82785
13,0.84838,0.86077,0.83991,0.84146
14,0.84848,0.85649,0.84356,0.84330
15,0.84484,0.85718,0.83473,0.83722
16,0.85632,0.86402,0.84964,0.85089
17,0.83690,0.85178,0.82589,0.82849
18,0.85256,0.85840,0.84624,0.84749
19,0.84118,0.85363,0.83177,0.83331
20,0.84118,0.85185,0.83267,0.83405
21,0.84139,0.85674,0.83114,0.83253
22,0.85267,0.86581,0.84375,0.84568
23,0.84473,0.85885,0.83482,0.83688
24,0.84515,0.85680,0.83694,0.83849
25,0.84139,0.85967,0.83025,0.83233
26,0.82583,0.83337,0.81720,0.81835
27,0.82959,0.84551,0.81881,0.82021
28,0.82959,0.84193,0.81971,0.82101
29,0.82562,0.84075,0.81418,0.81578
30,0.82970,0.84149,0.81971,0.82126
31,0.82959,0.84355,0.81864,0.82037
32,0.82970,0.84149,0.81971,0.82126
33,0.82970,0.84149,0.81971,0.82126
34,0.83346,0.84451,0.82391,0.82581
