K,Alpha,Accuracy,Precision,Recall,F1 score
1,0.20000,0.79025,0.79181,0.78392,0.78469
1,0.40000,0.77468,0.77426,0.76820,0.76917
1,0.50000,0.77468,0.77309,0.76904,0.76981
1,0.60000,0.77468,0.77309,0.76904,0.76981
1,0.80000,0.77853,0.77741,0.77251,0.77346
2,0.20000,0.75497,0.76072,0.76081,0.75384
2,0.40000,0.76272,0.76687,0.76770,0.76141
2,0.50000,0.76266,0.76625,0.76770,0.76165
2,0.60000,0.75875,0.76275,0.76428,0.75799
2,0.80000,0.75893,0.76621,0.76736,0.75883
3,0.20000,0.80575,0.80655,0.79854,0.79995
3,0.40000,0.79000,0.79053,0.78167,0.78338
3,0.50000,0.79013,0.79162,0.78094,0.78321
3,0.60000,0.78616,0.78685,0.77736,0.77933
3,0.80000,0.77847,0.77829,0.77042,0.77198
4,0.20000,0.79800,0.79647,0.79887,0.79630
4,0.40000,0.79403,0.79222,0.79524,0.79257
4,0.50000,0.78610,0.78453,0.78721,0.78449
4,0.60000,0.78610,0.78432,0.78622,0.78389
4,0.80000,0.78237,0.78076,0.78185,0.77956
5,0.20000,0.80563,0.80945,0.79582,0.79847
5,0.40000,0.80954,0.81469,0.79929,0.80242
5,0.50000,0.80948,0.81571,0.79919,0.80222
5,0.60000,0.80569,0.81403,0.79399,0.79700
5,0.80000,0.80600,0.81264,0.79523,0.79776
6,0.20000,0.82517,0.82393,0.82312,0.82265
6,0.40000,0.81747,0.81599,0.81450,0.81455
6,0.50000,0.81747,0.81599,0.81450,0.81455
6,0.60000,0.81759,0.81597,0.81460,0.81471
6,0.80000,0.81760,0.81659,0.81470,0.81471
7,0.20000,0.82920,0.83304,0.82056,0.82371
7,0.40000,0.83298,0.84077,0.82304,0.82704
7,0.50000,0.83298,0.84367,0.82137,0.82594
7,0.60000,0.84458,0.85562,0.83346,0.83806
7,0.80000,0.83292,0.84129,0.82221,0.82618
8,0.20000,0.82914,0.82986,0.82308,0.82490
8,0.40000,0.82523,0.82671,0.81867,0.82060
8,0.50000,0.83298,0.83420,0.82660,0.82875
8,0.60000,0.84067,0.84160,0.83523,0.83696
8,0.80000,0.83310,0.83387,0.82691,0.82892
9,0.20000,0.82150,0.82502,0.81278,0.81583
9,0.40000,0.82529,0.82970,0.81610,0.81905
9,0.50000,0.83304,0.83950,0.82320,0.82699
9,0.60000,0.83304,0.84139,0.82236,0.82623
9,0.80000,0.80948,0.82049,0.79677,0.80062
10,0.20000,0.83695,0.83737,0.83191,0.83324
10,0.40000,0.83695,0.83812,0.83107,0.83280
10,0.50000,0.83310,0.83418,0.82760,0.82904
10,0.60000,0.84073,0.84280,0.83454,0.83650
10,0.80000,0.83304,0.83454,0.82676,0.82854
11,0.20000,0.84079,0.84860,0.83098,0.83467
11,0.40000,0.83689,0.84889,0.82573,0.82898
11,0.50000,0.84482,0.85700,0.83377,0.83705
11,0.60000,0.83701,0.84913,0.82583,0.82913
11,0.80000,0.84079,0.85018,0.83014,0.83407
12,0.20000,0.84452,0.84888,0.83687,0.83955
12,0.40000,0.84055,0.84480,0.83330,0.83548
12,0.50000,0.84079,0.84810,0.83187,0.83458
12,0.60000,0.84470,0.85006,0.83718,0.83967
12,0.80000,0.83707,0.84073,0.82949,0.83186
13,0.20000,0.84055,0.84833,0.83073,0.83441
13,0.40000,0.85233,0.86121,0.84223,0.84631
13,0.50000,0.84458,0.85790,0.83262,0.83705
13,0.60000,0.84464,0.85763,0.83278,0.83749
13,0.80000,0.82919,0.83895,0.81805,0.82207
14,0.20000,0.84836,0.85339,0.84034,0.84318
14,0.40000,0.85221,0.85837,0.84381,0.84690
14,0.50000,0.83677,0.84152,0.82908,0.83134
14,0.60000,0.84073,0.84500,0.83355,0.83586
14,0.80000,0.82913,0.83263,0.82146,0.82380
15,0.20000,0.84067,0.85043,0.83004,0.83393
15,0.40000,0.83286,0.84390,0.82127,0.82531
15,0.50000,0.83683,0.84742,0.82573,0.82976
15,0.60000,0.83310,0.84520,0.82158,0.82529
15,0.80000,0.82901,0.84146,0.81696,0.82103
16,0.20000,0.84458,0.85165,0.83534,0.83900
16,0.40000,0.84848,0.85508,0.83981,0.84315
16,0.50000,0.84073,0.84455,0.83286,0.83572
16,0.60000,0.83695,0.84315,0.82772,0.83126
16,0.80000,0.82132,0.82917,0.81101,0.81400
17,0.20000,0.84458,0.85645,0.83351,0.83766
17,0.40000,0.83695,0.85031,0.82505,0.82905
17,0.50000,0.82913,0.84150,0.81711,0.82145
17,0.60000,0.82541,0.83908,0.81295,0.81644
17,0.80000,0.81747,0.82982,0.80486,0.80821
18,0.20000,0.84446,0.85219,0.83525,0.83887
18,0.40000,0.84458,0.85291,0.83540,0.83894
18,0.50000,0.83292,0.84104,0.82315,0.82660
18,0.60000,0.82529,0.83501,0.81453,0.81780
18,0.80000,0.82517,0.83602,0.81349,0.81699
19,0.20000,0.83682,0.84896,0.82579,0.82930
19,0.40000,0.84067,0.85002,0.83094,0.83450
19,0.50000,0.82529,0.83769,0.81369,0.81718
19,0.60000,0.82132,0.83411,0.80923,0.81258
19,0.80000,0.81735,0.83259,0.80372,0.80772
20,0.20000,0.83682,0.84634,0.82662,0.83022
20,0.40000,0.84061,0.84880,0.83183,0.83505
20,0.50000,0.82901,0.83969,0.81874,0.82202
20,0.60000,0.82516,0.83672,0.81443,0.81748
20,0.80000,0.81735,0.82423,0.80833,0.81037
21,0.20000,0.83682,0.84892,0.82579,0.82968
21,0.40000,0.82523,0.84013,0.81270,0.81596
21,0.50000,0.82523,0.84013,0.81270,0.81596
21,0.60000,0.82138,0.83485,0.80923,0.81264
21,0.80000,0.82120,0.83958,0.80814,0.81146
22,0.20000,0.83682,0.84417,0.82762,0.83101
22,0.40000,0.83298,0.84381,0.82231,0.82592
22,0.50000,0.82523,0.83799,0.81354,0.81685
22,0.60000,0.82529,0.83769,0.81369,0.81718
22,0.80000,0.82504,0.83929,0.81344,0.81659
23,0.20000,0.83694,0.85189,0.82510,0.82918
23,0.40000,0.82529,0.84464,0.81186,0.81575
23,0.50000,0.80972,0.82506,0.79614,0.79957
23,0.60000,0.80966,0.82533,0.79599,0.79921
23,0.80000,0.82132,0.84085,0.80740,0.81106
24,0.20000,0.82522,0.83647,0.81459,0.81772
24,0.40000,0.83292,0.84259,0.82321,0.82646
24,0.50000,0.82132,0.83358,0.81012,0.81328
24,0.60000,0.82510,0.83723,0.81339,0.81723
24,0.80000,0.82107,0.83861,0.80888,0.81179
25,0.20000,0.82919,0.84394,0.81717,0.82098
25,0.40000,0.81747,0.83529,0.80393,0.80734
25,0.50000,0.81747,0.83529,0.80393,0.80734
25,0.60000,0.82132,0.84168,0.80651,0.81079
25,0.80000,0.82132,0.84791,0.80478,0.80938
26,0.20000,0.82913,0.83820,0.81900,0.82203
26,0.40000,0.81747,0.83195,0.80477,0.80827
26,0.50000,0.81747,0.83195,0.80477,0.80827
26,0.60000,0.82138,0.83809,0.80839,0.81198
26,0.80000,0.82907,0.84868,0.81528,0.81922
27,0.20000,0.83298,0.84715,0.82148,0.82500
27,0.40000,0.81747,0.83529,0.80393,0.80734
27,0.50000,0.82517,0.84356,0.81171,0.81563
27,0.60000,0.82138,0.84096,0.80755,0.81101
27,0.80000,0.82132,0.84624,0.80567,0.80971
28,0.20000,0.82132,0.82972,0.81106,0.81388
28,0.40000,0.81357,0.82900,0.80045,0.80365
28,0.50000,0.82517,0.84356,0.81171,0.81563
28,0.60000,0.83298,0.84921,0.82064,0.82480
28,0.80000,0.82132,0.84624,0.80567,0.80971
29,0.20000,0.82126,0.83741,0.80824,0.81166
29,0.40000,0.81741,0.83868,0.80309,0.80662
29,0.50000,0.82132,0.84497,0.80656,0.81032
29,0.60000,0.83304,0.85453,0.81891,0.82347
29,0.80000,0.82144,0.84832,0.80493,0.80924
