K,Accuracy,Precision,Recall,F1 score
1,0.79816,0.79770,0.79209,0.79354
2,0.75536,0.75985,0.76006,0.75418
3,0.81372,0.81923,0.80630,0.80744
4,0.79399,0.79684,0.79734,0.79265
5,0.81727,0.82210,0.81024,0.81206
6,0.82134,0.82424,0.81924,0.81830
7,0.81341,0.82518,0.80328,0.80456
8,0.82844,0.83477,0.82187,0.82241
9,0.83283,0.84706,0.82143,0.82438
10,0.82520,0.83368,0.81641,0.81829
11,0.83679,0.85423,0.82509,0.82819
12,0.84484,0.85870,0.83588,0.83768
13,0.84463,0.86623,0.83206,0.83449
14,0.84077,0.85633,0.83125,0.83325
15,0.82510,0.84565,0.81196,0.81454
16,0.84098,0.85975,0.82982,0.83213
17,0.82939,0.85081,0.81669,0.81833
18,0.82531,0.83857,0.81481,0.81648
19,0.82145,0.84088,0.80865,0.81066
20,0.82552,0.83978,0.81507,0.81596
21,0.82928,0.84837,0.81669,0.81831
22,0.83325,0.85208,0.82204,0.82307
23,0.81748,0.83755,0.80419,0.80578
24,0.83336,0.85213,0.82204,0.82329
25,0.83325,0.85670,0.81920,0.82189
26,0.83722,0.86110,0.82455,0.82603
27,0.84119,0.87064,0.82723,0.82953
28,0.84515,0.87487,0.83170,0.83356
29,0.84139,0.87402,0.82660,0.82785
30,0.83743,0.86228,0.82392,0.82517
31,0.82960,0.85686,0.81499,0.81567
32,0.83346,0.85955,0.81946,0.82040
33,0.82960,0.85686,0.81499,0.81567
34,0.83336,0.85942,0.81920,0.82050
