K,Alpha,Accuracy,Precision,Recall,F1 score
1,0.20000,0.78640,0.78807,0.77961,0.78053
1,0.40000,0.77853,0.77928,0.77167,0.77281
1,0.50000,0.77853,0.77928,0.77167,0.77281
1,0.60000,0.77468,0.77426,0.76820,0.76917
1,0.80000,0.78243,0.78237,0.77614,0.77718
2,0.20000,0.76272,0.76879,0.76859,0.76145
2,0.40000,0.75490,0.75909,0.75982,0.75362
2,0.50000,0.75496,0.76019,0.76081,0.75400
2,0.60000,0.75515,0.75878,0.76023,0.75427
2,0.80000,0.75142,0.75597,0.75691,0.75054
3,0.20000,0.80581,0.80796,0.79854,0.79983
3,0.40000,0.80191,0.80617,0.79324,0.79532
3,0.50000,0.80191,0.80626,0.79407,0.79559
3,0.60000,0.79421,0.79782,0.78629,0.78797
3,0.80000,0.79025,0.79352,0.78272,0.78409
4,0.20000,0.80185,0.80035,0.80318,0.80035
4,0.40000,0.79788,0.79649,0.79956,0.79654
4,0.50000,0.79019,0.78862,0.79093,0.78849
4,0.60000,0.78634,0.78482,0.78662,0.78439
4,0.80000,0.77859,0.77773,0.77973,0.77692
5,0.20000,0.80954,0.81160,0.80112,0.80375
5,0.40000,0.81723,0.82261,0.80707,0.81026
5,0.50000,0.81344,0.82048,0.80276,0.80609
5,0.60000,0.81735,0.82355,0.80722,0.81069
5,0.80000,0.81747,0.82356,0.80822,0.81107
6,0.20000,0.82901,0.82765,0.82659,0.82638
6,0.40000,0.82895,0.82745,0.82576,0.82628
6,0.50000,0.81741,0.81581,0.81366,0.81437
6,0.60000,0.82913,0.82835,0.82502,0.82614
6,0.80000,0.82523,0.82484,0.82145,0.82201
7,0.20000,0.82510,0.82832,0.81684,0.81958
7,0.40000,0.83670,0.84333,0.82725,0.83097
7,0.50000,0.83286,0.83983,0.82294,0.82664
7,0.60000,0.82901,0.83660,0.81863,0.82232
7,0.80000,0.82895,0.84362,0.81665,0.82024
8,0.20000,0.82132,0.82157,0.81603,0.81706
8,0.40000,0.83689,0.83704,0.83191,0.83350
8,0.50000,0.83689,0.83704,0.83191,0.83350
8,0.60000,0.82901,0.82870,0.82397,0.82558
8,0.80000,0.82901,0.83232,0.82130,0.82395
9,0.20000,0.82523,0.82968,0.81610,0.81942
9,0.40000,0.82901,0.83318,0.82031,0.82304
9,0.50000,0.82504,0.82964,0.81585,0.81887
9,0.60000,0.82126,0.82893,0.81070,0.81396
9,0.80000,0.82132,0.83585,0.80818,0.81228
10,0.20000,0.84079,0.84251,0.83449,0.83681
10,0.40000,0.83670,0.83893,0.82998,0.83223
10,0.50000,0.84061,0.84227,0.83444,0.83661
10,0.60000,0.84067,0.84280,0.83444,0.83634
10,0.80000,0.84452,0.84771,0.83702,0.83992
11,0.20000,0.84067,0.84879,0.83083,0.83455
11,0.40000,0.82883,0.83767,0.81838,0.82156
11,0.50000,0.82895,0.83841,0.81853,0.82128
11,0.60000,0.83683,0.84744,0.82573,0.82948
11,0.80000,0.83670,0.84995,0.82474,0.82896
12,0.20000,0.84067,0.84637,0.83256,0.83532
12,0.40000,0.83670,0.84309,0.82815,0.83090
12,0.50000,0.83670,0.84223,0.82830,0.83109
12,0.60000,0.83689,0.84324,0.82756,0.83099
12,0.80000,0.83298,0.84173,0.82325,0.82636
13,0.20000,0.83670,0.84531,0.82642,0.83006
13,0.40000,0.83683,0.84718,0.82568,0.82953
13,0.50000,0.82913,0.84064,0.81706,0.82130
13,0.60000,0.82126,0.83270,0.80902,0.81279
13,0.80000,0.82907,0.84229,0.81696,0.82061
14,0.20000,0.83683,0.84443,0.82741,0.83045
14,0.40000,0.83683,0.84585,0.82657,0.82979
14,0.50000,0.83298,0.84253,0.82226,0.82570
14,0.60000,0.83298,0.84231,0.82226,0.82601
14,0.80000,0.82907,0.84229,0.81696,0.82061
15,0.20000,0.82901,0.84089,0.81696,0.82115
15,0.40000,0.82907,0.84399,0.81612,0.82065
15,0.50000,0.82907,0.84399,0.81612,0.82065
15,0.60000,0.82913,0.84386,0.81606,0.82040
15,0.80000,0.83683,0.85516,0.82390,0.82799
16,0.20000,0.84055,0.84909,0.83078,0.83437
16,0.40000,0.82517,0.83475,0.81438,0.81797
16,0.50000,0.82504,0.83393,0.81422,0.81804
16,0.60000,0.82529,0.83693,0.81349,0.81704
16,0.80000,0.82523,0.83386,0.81432,0.81748
17,0.20000,0.83683,0.84742,0.82573,0.82976
17,0.40000,0.81735,0.82781,0.80560,0.80940
17,0.50000,0.81357,0.82611,0.80040,0.80420
17,0.60000,0.81375,0.82987,0.79972,0.80316
17,0.80000,0.81753,0.83374,0.80403,0.80715
18,0.20000,0.83292,0.84104,0.82315,0.82660
18,0.40000,0.82907,0.83756,0.81884,0.82229
18,0.50000,0.82523,0.83464,0.81453,0.81806
