K,Alpha,Accuracy,Precision,Recall,F1 score
1,0.20000,0.77083,0.76877,0.76557,0.76616
1,0.40000,0.77468,0.77385,0.76820,0.76919
1,0.50000,0.77859,0.77765,0.77267,0.77356
1,0.60000,0.77859,0.77765,0.77267,0.77356
1,0.80000,0.77480,0.77346,0.76935,0.76997
2,0.20000,0.75124,0.75871,0.75958,0.75105
2,0.40000,0.75899,0.76566,0.76652,0.75852
2,0.50000,0.75905,0.76446,0.76563,0.75844
2,0.60000,0.74733,0.75250,0.75328,0.74652
2,0.80000,0.75521,0.76071,0.76122,0.75430
3,0.20000,0.77847,0.77829,0.77042,0.77198
3,0.40000,0.78622,0.78641,0.77836,0.78018
3,0.50000,0.77840,0.77803,0.77131,0.77259
3,0.60000,0.77840,0.77803,0.77131,0.77259
3,0.80000,0.77462,0.77485,0.76784,0.76886
4,0.20000,0.78231,0.78057,0.78191,0.77982
4,0.40000,0.77083,0.76916,0.77081,0.76862
4,0.50000,0.77071,0.76856,0.76981,0.76825
4,0.60000,0.77853,0.77625,0.77686,0.77583
4,0.80000,0.77456,0.77262,0.77428,0.77247
5,0.20000,0.80990,0.81866,0.79870,0.80138
5,0.40000,0.81357,0.82656,0.80103,0.80441
5,0.50000,0.81357,0.82307,0.80276,0.80552
5,0.60000,0.81357,0.82307,0.80276,0.80552
5,0.80000,0.82126,0.82782,0.81154,0.81454
6,0.20000,0.82932,0.83037,0.82527,0.82589
6,0.40000,0.83310,0.83404,0.82849,0.82919
6,0.50000,0.82913,0.83001,0.82403,0.82512
6,0.60000,0.81747,0.81789,0.81178,0.81330
6,0.80000,0.81747,0.81789,0.81178,0.81330
7,0.20000,0.82895,0.84067,0.81690,0.82147
7,0.40000,0.81338,0.82475,0.80108,0.80480
7,0.50000,0.80942,0.81999,0.79751,0.80093
7,0.60000,0.80948,0.82244,0.79667,0.80042
7,0.80000,0.80954,0.82414,0.79578,0.79958
8,0.20000,0.80947,0.80965,0.80306,0.80510
8,0.40000,0.82492,0.82739,0.81763,0.82013
8,0.50000,0.82101,0.82366,0.81332,0.81607
8,0.60000,0.82883,0.83073,0.82210,0.82451
8,0.80000,0.82498,0.83099,0.81590,0.81922
9,0.20000,0.81729,0.82679,0.80555,0.80946
9,0.40000,0.83280,0.84424,0.82127,0.82579
9,0.50000,0.82877,0.83917,0.81754,0.82180
9,0.60000,0.83274,0.84279,0.82201,0.82601
9,0.80000,0.83274,0.84393,0.82111,0.82567
10,0.20000,0.82919,0.83194,0.82161,0.82436
10,0.40000,0.83292,0.84033,0.82399,0.82720
10,0.50000,0.83670,0.84515,0.82731,0.83055
10,0.60000,0.83670,0.84515,0.82731,0.83055
10,0.80000,0.84067,0.84477,0.83271,0.83579
11,0.20000,0.82907,0.84322,0.81606,0.82062
11,0.40000,0.83286,0.84945,0.81938,0.82427
11,0.50000,0.84458,0.85868,0.83262,0.83730
11,0.60000,0.84073,0.85593,0.82831,0.83282
11,0.80000,0.84842,0.86742,0.83526,0.84029
12,0.20000,0.83304,0.83901,0.82419,0.82753
12,0.40000,0.83707,0.84337,0.82865,0.83175
12,0.50000,0.83689,0.84271,0.82840,0.83150
12,0.60000,0.82913,0.83434,0.82062,0.82341
12,0.80000,0.83292,0.84302,0.82226,0.82565
13,0.20000,0.83298,0.84826,0.82053,0.82478
13,0.40000,0.82523,0.84109,0.81259,0.81650
13,0.50000,0.82901,0.84555,0.81597,0.81970
13,0.60000,0.82523,0.83958,0.81265,0.81604
13,0.80000,0.82914,0.84535,0.81622,0.81995
14,0.20000,0.82932,0.83636,0.82003,0.82274
14,0.40000,0.83298,0.84014,0.82409,0.82709
14,0.50000,0.83298,0.83867,0.82409,0.82715
14,0.60000,0.82132,0.82668,0.81169,0.81446
14,0.80000,0.83298,0.84774,0.82053,0.82456
15,0.20000,0.83310,0.84877,0.82068,0.82434
15,0.40000,0.82523,0.84441,0.81175,0.81605
15,0.50000,0.82913,0.84931,0.81523,0.81938
15,0.60000,0.82517,0.84190,0.81166,0.81593
15,0.80000,0.83298,0.85410,0.81870,0.82312
16,0.20000,0.82919,0.83669,0.81978,0.82270
16,0.40000,0.83683,0.84868,0.82657,0.83004
16,0.50000,0.82523,0.83486,0.81432,0.81735
16,0.60000,0.82907,0.84091,0.81780,0.82100
16,0.80000,0.82510,0.84157,0.81249,0.81589
17,0.20000,0.82150,0.83439,0.80927,0.81303
17,0.40000,0.82517,0.84551,0.81166,0.81487
17,0.50000,0.82132,0.83963,0.80734,0.81088
17,0.60000,0.82529,0.84697,0.81092,0.81466
17,0.80000,0.82907,0.84782,0.81523,0.81942
18,0.20000,0.82535,0.83372,0.81547,0.81816
18,0.40000,0.81741,0.82835,0.80555,0.80863
18,0.50000,0.82907,0.84342,0.81696,0.81958
18,0.60000,0.82138,0.83241,0.81001,0.81223
18,0.80000,0.82523,0.83958,0.81265,0.81604
19,0.20000,0.81350,0.82459,0.80124,0.80488
19,0.40000,0.81741,0.82997,0.80471,0.80775
19,0.50000,0.82510,0.84382,0.81166,0.81493
19,0.60000,0.82523,0.84547,0.81092,0.81470
19,0.80000,0.82913,0.85043,0.81528,0.81866
20,0.20000,0.82132,0.83059,0.81091,0.81350
20,0.40000,0.82901,0.83851,0.81869,0.82134
20,0.50000,0.82517,0.83553,0.81438,0.81670
20,0.60000,0.82132,0.83559,0.80923,0.81204
20,0.80000,0.82523,0.83958,0.81265,0.81604
21,0.20000,0.82901,0.84662,0.81602,0.81958
21,0.40000,0.81723,0.83656,0.80278,0.80653
21,0.50000,0.81350,0.82847,0.80030,0.80341
21,0.60000,0.83304,0.85323,0.81975,0.82329
21,0.80000,0.83310,0.85508,0.81885,0.82259
22,0.20000,0.82895,0.84334,0.81686,0.82005
22,0.40000,0.82517,0.84030,0.81255,0.81597
22,0.50000,0.82132,0.83374,0.81012,0.81284
22,0.60000,0.82510,0.84183,0.81359,0.81626
22,0.80000,0.82913,0.84721,0.81627,0.81956
23,0.20000,0.82120,0.84402,0.80641,0.81055
23,0.40000,0.81735,0.83726,0.80294,0.80652
23,0.50000,0.83310,0.85294,0.81885,0.82274
23,0.60000,0.82913,0.85176,0.81439,0.81840
23,0.80000,0.83695,0.86019,0.82232,0.82634
24,0.20000,0.82126,0.83743,0.80824,0.81210
24,0.40000,0.82529,0.84131,0.81286,0.81611
24,0.50000,0.83695,0.85151,0.82505,0.82891
24,0.60000,0.82901,0.84759,0.81707,0.82002
24,0.80000,0.82913,0.85043,0.81528,0.81866
25,0.20000,0.82120,0.84566,0.80551,0.80979
25,0.40000,0.82913,0.85395,0.81355,0.81793
25,0.50000,0.83298,0.85630,0.81786,0.82265
25,0.60000,0.83310,0.85727,0.81801,0.82212
25,0.80000,0.82517,0.84909,0.80998,0.81402
26,0.20000,0.82517,0.84909,0.80998,0.81402
26,0.40000,0.82926,0.85194,0.81454,0.81838
26,0.50000,0.84085,0.86242,0.82679,0.83148
26,0.60000,0.83689,0.85777,0.82322,0.82755
26,0.80000,0.82919,0.84817,0.81544,0.81922
27,0.20000,0.82517,0.85075,0.80909,0.81368
27,0.40000,0.82913,0.85395,0.81355,0.81793
27,0.50000,0.82913,0.85395,0.81355,0.81793
27,0.60000,0.82913,0.85395,0.81355,0.81793
27,0.80000,0.82907,0.85189,0.81444,0.81865
28,0.20000,0.83298,0.85630,0.81786,0.82265
28,0.40000,0.82901,0.85143,0.81429,0.81874
28,0.50000,0.83298,0.85554,0.81875,0.82242
28,0.60000,0.83304,0.85543,0.81891,0.82283
28,0.80000,0.83298,0.85473,0.81891,0.82319
29,0.20000,0.82138,0.84832,0.80478,0.80888
29,0.40000,0.82517,0.84909,0.80998,0.81402
29,0.50000,0.82517,0.84909,0.80998,0.81402
29,0.60000,0.82517,0.84909,0.80998,0.81402
29,0.80000,0.82907,0.85189,0.81444,0.81865
