K,Accuracy,Precision,Recall,F1 score
1,0.80621,0.80566,0.80199,0.80236
2,0.77468,0.78109,0.78105,0.77385
3,0.79022,0.79559,0.78342,0.78339
4,0.77790,0.78031,0.77842,0.77511
5,0.79806,0.80577,0.79030,0.79116
6,0.81780,0.82399,0.81601,0.81471
7,0.80569,0.81626,0.79711,0.79827
8,0.79786,0.80104,0.79352,0.79301
9,0.81717,0.82946,0.80820,0.80990
10,0.80579,0.81079,0.80165,0.80093
11,0.82886,0.84454,0.81964,0.82110
12,0.83283,0.84371,0.82775,0.82737
13,0.82541,0.83840,0.81498,0.81677
14,0.82959,0.83963,0.82051,0.82209
15,0.82552,0.84162,0.81409,0.81522
16,0.82928,0.83861,0.82007,0.82187
17,0.81779,0.82936,0.80721,0.80825
18,0.82949,0.83880,0.82140,0.82210
19,0.81738,0.83575,0.80436,0.80543
20,0.81758,0.83005,0.80721,0.80867
21,0.81372,0.83288,0.80016,0.80085
22,0.82531,0.84157,0.81418,0.81606
23,0.82531,0.84382,0.81222,0.81451
24,0.82917,0.84629,0.81758,0.81983
25,0.82520,0.84387,0.81222,0.81451
26,0.83314,0.85032,0.82115,0.82391
27,0.82542,0.84729,0.81133,0.81410
28,0.82917,0.84958,0.81669,0.81896
29,0.82145,0.84795,0.80580,0.80806
30,0.82134,0.84347,0.80670,0.80918
31,0.81769,0.84539,0.80160,0.80323
32,0.81769,0.83868,0.80356,0.80471
33,0.81780,0.84496,0.80177,0.80339
34,0.80997,0.82987,0.79569,0.79651
