K,Accuracy,Precision,Recall,F1 score
1,0.79763,0.76820,0.75802,0.75382
2,0.74983,0.73202,0.74245,0.72169
3,0.79825,0.77402,0.76164,0.76029
4,0.80598,0.79063,0.78858,0.77417
5,0.79448,0.77577,0.76431,0.76066
6,0.77882,0.75431,0.75622,0.74387
7,0.78615,0.76914,0.75907,0.75027
8,0.78218,0.75824,0.76117,0.75155
9,0.78645,0.76847,0.75841,0.75269
10,0.79784,0.77891,0.77428,0.76840
11,0.79408,0.78177,0.77116,0.76476
12,0.79731,0.77810,0.76927,0.76652
13,0.79742,0.78224,0.76729,0.76810
14,0.79386,0.76864,0.77073,0.76356
15,0.79752,0.77766,0.77187,0.76916
16,0.78979,0.76841,0.76510,0.76119
17,0.80128,0.78253,0.77451,0.77100
18,0.80494,0.78711,0.78447,0.77804
19,0.80087,0.78293,0.77537,0.77296
20,0.81236,0.79808,0.79210,0.78784
21,0.80474,0.78450,0.78133,0.77723
22,0.79711,0.77803,0.77502,0.77045
23,0.81308,0.79620,0.79042,0.78825
24,0.81318,0.79906,0.79458,0.79037
25,0.80209,0.78448,0.77388,0.77421
26,0.80179,0.78708,0.77870,0.77567
27,0.79426,0.78183,0.76878,0.76566
28,0.80555,0.79154,0.78466,0.78102
29,0.79793,0.79203,0.77245,0.77051
30,0.80525,0.79820,0.78435,0.78102
31,0.80911,0.80034,0.78832,0.78578
32,0.80535,0.79759,0.78237,0.78016
33,0.80535,0.79811,0.78237,0.78060
34,0.80535,0.79759,0.78237,0.78016
