K,Alpha,Accuracy,Precision,Recall,F1 score
1,0.20000,0.78733,0.76699,0.75425,0.75626
1,0.40000,0.78342,0.76961,0.74811,0.75061
1,0.50000,0.78348,0.76998,0.74830,0.75109
1,0.60000,0.77211,0.75119,0.73785,0.73886
1,0.80000,0.77608,0.75398,0.73465,0.73655
2,0.20000,0.75650,0.73804,0.74999,0.73303
2,0.40000,0.76046,0.74147,0.75566,0.73645
2,0.50000,0.74910,0.73048,0.74277,0.72386
2,0.60000,0.75668,0.73848,0.75053,0.73384
2,0.80000,0.74904,0.73546,0.74841,0.72978
3,0.20000,0.75673,0.72025,0.71386,0.71240
3,0.40000,0.74152,0.70275,0.69240,0.69134
3,0.50000,0.74910,0.70813,0.70016,0.69885
3,0.60000,0.75283,0.71277,0.70657,0.70479
3,0.80000,0.74904,0.70644,0.69799,0.69572
4,0.20000,0.74508,0.71805,0.72419,0.71208
4,0.40000,0.74100,0.71381,0.71352,0.70457
4,0.50000,0.73721,0.70863,0.70885,0.70099
4,0.60000,0.73727,0.70416,0.70530,0.69837
4,0.80000,0.73733,0.70152,0.70332,0.69747
5,0.20000,0.75650,0.71868,0.71368,0.71036
5,0.40000,0.76396,0.72746,0.72360,0.72178
5,0.50000,0.74496,0.70661,0.70207,0.70095
5,0.60000,0.75639,0.71668,0.71624,0.71322
5,0.80000,0.74106,0.70249,0.70165,0.69913
6,0.20000,0.76758,0.73478,0.74795,0.73717
6,0.40000,0.76758,0.73509,0.74423,0.73528
6,0.50000,0.76775,0.73498,0.74196,0.73536
6,0.60000,0.76385,0.72935,0.73537,0.72920
6,0.80000,0.76769,0.73617,0.74398,0.73615
7,0.20000,0.76764,0.73185,0.73334,0.72937
7,0.40000,0.76391,0.73000,0.72360,0.72403
7,0.50000,0.75621,0.72154,0.71450,0.71515
7,0.60000,0.75254,0.71713,0.71071,0.71113
7,0.80000,0.74875,0.71832,0.71041,0.71099
8,0.20000,0.79054,0.76184,0.76673,0.75875
8,0.40000,0.79048,0.76570,0.77028,0.76238
8,0.50000,0.77521,0.74681,0.74970,0.74227
8,0.60000,0.77142,0.74227,0.74457,0.73886
8,0.80000,0.74864,0.71683,0.71617,0.71358
9,0.20000,0.78675,0.75671,0.75182,0.74990
9,0.40000,0.77917,0.75231,0.74906,0.74619
9,0.50000,0.77527,0.74732,0.74637,0.74308
9,0.60000,0.76775,0.73875,0.73401,0.73202
9,0.80000,0.74881,0.71876,0.70586,0.70852
10,0.20000,0.79042,0.76250,0.76738,0.76124
10,0.40000,0.79065,0.76435,0.77046,0.76261
10,0.50000,0.80202,0.77707,0.78090,0.77544
10,0.60000,0.79817,0.77395,0.77821,0.77266
10,0.80000,0.78290,0.75770,0.75757,0.75540
11,0.20000,0.79048,0.76455,0.76649,0.76259
11,0.40000,0.77911,0.74949,0.74860,0.74633
11,0.50000,0.78284,0.75515,0.75285,0.75070
11,0.60000,0.77533,0.74959,0.74131,0.74137
11,0.80000,0.77917,0.75527,0.74900,0.74877
12,0.20000,0.79048,0.76619,0.77110,0.76504
12,0.40000,0.80208,0.77879,0.78462,0.77759
12,0.50000,0.79823,0.77333,0.77821,0.77254
12,0.60000,0.79438,0.77020,0.77552,0.76971
12,0.80000,0.80196,0.78214,0.78194,0.77932
13,0.20000,0.78284,0.75950,0.75739,0.75577
13,0.40000,0.78675,0.76429,0.76136,0.75970
13,0.50000,0.78302,0.76052,0.75541,0.75426
13,0.60000,0.78302,0.76052,0.75541,0.75426
13,0.80000,0.78308,0.75899,0.74290,0.74449
14,0.20000,0.79438,0.77056,0.76918,0.76682
14,0.40000,0.79048,0.76671,0.76603,0.76352
14,0.50000,0.79433,0.76984,0.76872,0.76636
14,0.60000,0.79048,0.76744,0.76603,0.76329
14,0.80000,0.79812,0.77694,0.77135,0.77070
15,0.20000,0.77521,0.74882,0.74573,0.74353
15,0.40000,0.79042,0.76909,0.76585,0.76224
15,0.50000,0.79817,0.77375,0.77269,0.77086
15,0.60000,0.80575,0.78510,0.78045,0.78043
15,0.80000,0.79812,0.77803,0.77135,0.77164
16,0.20000,0.77906,0.75096,0.75187,0.74854
16,0.40000,0.79427,0.77069,0.77244,0.76914
16,0.50000,0.79811,0.77382,0.77513,0.77197
16,0.60000,0.80581,0.78307,0.78307,0.78139
16,0.80000,0.79054,0.76226,0.76249,0.76055
17,0.20000,0.77894,0.75101,0.74925,0.74791
17,0.40000,0.79421,0.77047,0.77199,0.76838
17,0.50000,0.79433,0.77333,0.76784,0.76751
17,0.60000,0.79433,0.77468,0.76784,0.76797
17,0.80000,0.79817,0.77848,0.77397,0.77409
18,0.20000,0.80569,0.78286,0.78667,0.78091
18,0.40000,0.79811,0.77382,0.77513,0.77197
18,0.50000,0.80569,0.78406,0.78289,0.78079
18,0.60000,0.80569,0.78406,0.78289,0.78079
