K,Accuracy,Precision,Recall,F1 score
1,0.80292,0.77687,0.76086,0.75875
2,0.74141,0.72233,0.73464,0.71663
3,0.76419,0.73164,0.73086,0.72580
4,0.74540,0.72871,0.73449,0.71943
5,0.77213,0.75165,0.74431,0.73945
6,0.77183,0.74568,0.74949,0.74002
7,0.75667,0.73159,0.72145,0.72145
8,0.77141,0.74684,0.74580,0.73863
9,0.78676,0.76980,0.76222,0.75991
10,0.80567,0.79031,0.79116,0.78437
11,0.79073,0.78002,0.76619,0.76455
12,0.79815,0.79192,0.78093,0.77391
13,0.77924,0.77153,0.74748,0.74555
14,0.79439,0.78782,0.76931,0.76613
15,0.80953,0.80811,0.78055,0.78137
16,0.79804,0.79102,0.77327,0.77298
17,0.79783,0.79201,0.77265,0.77228
18,0.81278,0.80054,0.79229,0.78806
19,0.81705,0.81130,0.79198,0.79132
20,0.80138,0.78811,0.77358,0.77165
21,0.79783,0.78389,0.76479,0.76599
22,0.80535,0.79549,0.78353,0.78020
23,0.81298,0.80629,0.78801,0.78692
24,0.80150,0.79291,0.77758,0.77567
25,0.79418,0.78163,0.76098,0.76316
26,0.79000,0.77864,0.76133,0.76296
27,0.79407,0.77746,0.76413,0.76538
28,0.78624,0.77297,0.75736,0.75820
29,0.79397,0.78266,0.76584,0.76761
30,0.80170,0.79209,0.77576,0.77830
31,0.80170,0.79042,0.77378,0.77602
32,0.79794,0.78738,0.76981,0.77249
33,0.79437,0.78091,0.75655,0.76021
34,0.79804,0.78820,0.76250,0.76687
