K,Alpha,Accuracy,Precision,Recall,F1 score
1,0.20000,0.77975,0.75677,0.74649,0.74797
1,0.40000,0.78365,0.76659,0.75336,0.75438
1,0.50000,0.77981,0.76150,0.74695,0.74881
1,0.60000,0.78354,0.76615,0.75290,0.75522
1,0.80000,0.79111,0.77711,0.75828,0.76196
2,0.20000,0.75271,0.73241,0.74538,0.72750
2,0.40000,0.76425,0.74418,0.75600,0.73936
2,0.50000,0.76804,0.74788,0.76213,0.74450
2,0.60000,0.76419,0.74400,0.75944,0.74152
2,0.80000,0.74881,0.73195,0.74695,0.72840
3,0.20000,0.76035,0.72442,0.71719,0.71683
3,0.40000,0.76413,0.72815,0.72488,0.72309
3,0.50000,0.75656,0.71981,0.71840,0.71564
3,0.60000,0.74508,0.70823,0.70534,0.70204
3,0.80000,0.74513,0.70852,0.71058,0.70620
4,0.20000,0.73756,0.70609,0.71073,0.70119
4,0.40000,0.72981,0.69479,0.69907,0.69031
4,0.50000,0.73733,0.70085,0.70683,0.69785
4,0.60000,0.74117,0.70645,0.71189,0.70327
4,0.80000,0.72958,0.69806,0.70453,0.69441
5,0.20000,0.74106,0.69868,0.68984,0.68673
5,0.40000,0.74875,0.71027,0.70296,0.70350
5,0.50000,0.76781,0.73190,0.73013,0.73005
5,0.60000,0.76408,0.72944,0.73006,0.72868
5,0.80000,0.76798,0.73744,0.74020,0.73665
6,0.20000,0.75248,0.71482,0.72411,0.71590
6,0.40000,0.77917,0.75060,0.75973,0.74932
6,0.50000,0.77917,0.75124,0.76101,0.75084
6,0.60000,0.77148,0.73895,0.75064,0.73989
6,0.80000,0.77154,0.74330,0.75430,0.74411
7,0.20000,0.76775,0.73436,0.73001,0.72962
7,0.40000,0.77550,0.74423,0.73957,0.73755
7,0.50000,0.77160,0.73956,0.73642,0.73489
7,0.60000,0.77917,0.75159,0.74418,0.74410
7,0.80000,0.76017,0.72926,0.72509,0.72327
8,0.20000,0.77550,0.74232,0.74680,0.73993
8,0.40000,0.77906,0.74638,0.75583,0.74743
8,0.50000,0.77894,0.74949,0.75693,0.74968
8,0.60000,0.77516,0.74481,0.74808,0.74420
8,0.80000,0.77131,0.74288,0.74667,0.74314
9,0.20000,0.77912,0.74952,0.74098,0.74000
9,0.40000,0.77917,0.74503,0.74244,0.74109
9,0.50000,0.77521,0.74226,0.73929,0.73900
9,0.60000,0.77142,0.73799,0.73334,0.73426
9,0.80000,0.76379,0.73252,0.72796,0.72844
10,0.20000,0.79438,0.76674,0.77269,0.76618
10,0.40000,0.78296,0.74974,0.75364,0.75011
10,0.50000,0.79450,0.76526,0.77043,0.76542
10,0.60000,0.79438,0.76588,0.77153,0.76720
10,0.80000,0.79427,0.76808,0.77262,0.76836
11,0.20000,0.79048,0.76455,0.76649,0.76259
11,0.40000,0.76775,0.73824,0.73355,0.73245
11,0.50000,0.77917,0.74924,0.74833,0.74649
11,0.60000,0.77544,0.75025,0.74149,0.74282
11,0.80000,0.76781,0.74304,0.73239,0.73360
12,0.20000,0.79042,0.76691,0.76848,0.76443
12,0.40000,0.79059,0.76701,0.76695,0.76393
12,0.50000,0.79438,0.76875,0.76674,0.76594
12,0.60000,0.79438,0.76875,0.76674,0.76594
12,0.80000,0.79811,0.77145,0.77269,0.77007
13,0.20000,0.78669,0.76601,0.75746,0.75810
13,0.40000,0.79065,0.76717,0.76207,0.76270
13,0.50000,0.79065,0.76717,0.76207,0.76270
13,0.60000,0.79071,0.76853,0.76207,0.76239
13,0.80000,0.78302,0.76082,0.75495,0.75413
14,0.20000,0.79806,0.77435,0.77757,0.77258
14,0.40000,0.79817,0.77396,0.78148,0.77460
14,0.50000,0.80208,0.77783,0.78172,0.77731
14,0.60000,0.79823,0.77349,0.77531,0.77151
14,0.80000,0.79817,0.77079,0.77403,0.76973
15,0.20000,0.78267,0.75631,0.75764,0.75344
15,0.40000,0.78279,0.75614,0.75566,0.75292
15,0.50000,0.79427,0.76953,0.77244,0.76847
15,0.60000,0.79433,0.77070,0.77000,0.76783
15,0.80000,0.79817,0.77512,0.76680,0.76731
16,0.20000,0.80196,0.77642,0.78044,0.77604
16,0.40000,0.79450,0.77073,0.77769,0.77019
