K,Alpha,Accuracy,Precision,Recall,F1 score
1,0.20000,0.76465,0.74889,0.71850,0.72043
1,0.40000,0.76454,0.74620,0.71939,0.72248
1,0.50000,0.76454,0.74745,0.72311,0.72516
1,0.60000,0.76833,0.75151,0.72952,0.73063
1,0.80000,0.77206,0.75522,0.73547,0.73772
2,0.20000,0.76035,0.74322,0.76347,0.74134
2,0.40000,0.77171,0.75226,0.77309,0.75182
2,0.50000,0.76408,0.74353,0.76271,0.74279
2,0.60000,0.76029,0.74159,0.76002,0.74003
2,0.80000,0.75271,0.73525,0.75354,0.73259
3,0.20000,0.75644,0.71813,0.71542,0.71291
3,0.40000,0.75277,0.71285,0.71029,0.70889
3,0.50000,0.75277,0.71285,0.71029,0.70889
3,0.60000,0.75277,0.71373,0.71245,0.71097
3,0.80000,0.74892,0.71313,0.71437,0.71073
4,0.20000,0.74089,0.71114,0.71254,0.70642
4,0.40000,0.73698,0.70639,0.70811,0.70211
4,0.50000,0.73314,0.70304,0.70542,0.69916
4,0.60000,0.74846,0.71880,0.72490,0.71670
4,0.80000,0.74094,0.70915,0.71604,0.70727
5,0.20000,0.74496,0.70278,0.70207,0.70013
5,0.40000,0.74496,0.70782,0.70662,0.70561
5,0.50000,0.73727,0.70286,0.69996,0.69921
5,0.60000,0.74864,0.71540,0.71239,0.71173
5,0.80000,0.76787,0.73820,0.73846,0.73691
6,0.20000,0.75610,0.72424,0.73226,0.72393
6,0.40000,0.76764,0.73813,0.74643,0.73694
6,0.50000,0.76764,0.73813,0.74643,0.73694
6,0.60000,0.76379,0.73492,0.74374,0.73409
6,0.80000,0.77148,0.74307,0.75430,0.74490
7,0.20000,0.74491,0.71244,0.69655,0.70072
7,0.40000,0.74864,0.71786,0.70650,0.70816
7,0.50000,0.74870,0.71592,0.70913,0.70855
7,0.60000,0.74870,0.71592,0.70913,0.70855
7,0.80000,0.76006,0.72866,0.72546,0.72474
8,0.20000,0.76769,0.73915,0.73526,0.73434
8,0.40000,0.76368,0.73286,0.73501,0.73110
8,0.50000,0.76368,0.73286,0.73501,0.73110
8,0.60000,0.75983,0.72787,0.72860,0.72583
8,0.80000,0.76368,0.73433,0.73629,0.73354
9,0.20000,0.74502,0.71439,0.69945,0.70277
9,0.40000,0.75254,0.72301,0.71181,0.71473
9,0.50000,0.74869,0.71789,0.70785,0.70995
9,0.60000,0.75248,0.72207,0.71181,0.71470
9,0.80000,0.77142,0.74393,0.74079,0.74049
10,0.20000,0.77900,0.75172,0.75071,0.74975
10,0.40000,0.78285,0.75647,0.75712,0.75507
10,0.50000,0.78285,0.75647,0.75712,0.75507
10,0.60000,0.78669,0.76159,0.76353,0.76032
