K,Accuracy,Precision,Recall,F1 score
1,0.77212,0.73730,0.71723,0.71683
2,0.74631,0.72956,0.74214,0.72193
3,0.77202,0.73548,0.73071,0.72674
4,0.78352,0.76397,0.76768,0.75489
5,0.74935,0.71136,0.70705,0.70307
6,0.77497,0.74468,0.74989,0.74209
7,0.76055,0.73302,0.72064,0.72036
8,0.75584,0.72617,0.72872,0.72035
9,0.77528,0.75214,0.74164,0.74211
10,0.78259,0.76068,0.75157,0.74718
11,0.77110,0.74471,0.72972,0.72893
12,0.79418,0.77995,0.77027,0.76743
13,0.79409,0.78041,0.76798,0.76580
14,0.80547,0.79644,0.78786,0.78260
15,0.79429,0.78222,0.76600,0.76512
16,0.79835,0.79058,0.77327,0.77272
17,0.78665,0.77894,0.75553,0.75495
18,0.80598,0.80172,0.78501,0.78440
19,0.78716,0.78565,0.75157,0.75580
20,0.79814,0.78815,0.77479,0.77301
21,0.79062,0.77975,0.76288,0.76220
22,0.79448,0.77961,0.76451,0.76355
23,0.79072,0.77667,0.75705,0.75718
24,0.79051,0.77994,0.75705,0.75719
25,0.79072,0.78315,0.75837,0.75947
26,0.78684,0.77410,0.75638,0.75539
27,0.78696,0.77816,0.75242,0.75315
28,0.79448,0.78435,0.76315,0.76344
29,0.78644,0.77730,0.75409,0.75419
30,0.79051,0.78332,0.76319,0.76316
31,0.79396,0.78972,0.77000,0.77012
32,0.78675,0.77907,0.75723,0.75697
33,0.79041,0.78664,0.76405,0.76502
34,0.79436,0.79002,0.77031,0.77081
