K,Accuracy,Precision,Recall,F1 score
1,0.80952,0.78791,0.78637,0.78585
2,0.79448,0.78471,0.72463,0.73917
3,0.81744,0.79307,0.79529,0.79360
4,0.80566,0.79761,0.74982,0.76056
5,0.80992,0.79048,0.77456,0.77932
6,0.79081,0.77988,0.72703,0.73837
7,0.79428,0.77330,0.75064,0.75803
8,0.79042,0.77097,0.73850,0.74775
9,0.79814,0.77452,0.75625,0.76190
10,0.79061,0.76993,0.73861,0.74759
11,0.81338,0.79133,0.77960,0.78296
12,0.81338,0.79431,0.77341,0.77931
13,0.81358,0.79360,0.77971,0.78317
14,0.80200,0.78099,0.75636,0.76415
15,0.81358,0.79338,0.77696,0.78224
16,0.81338,0.79459,0.77066,0.77846
17,0.81338,0.79160,0.77685,0.78212
18,0.81338,0.79476,0.76791,0.77663
19,0.82477,0.80666,0.78806,0.79387
20,0.81685,0.79854,0.77295,0.78064
21,0.82457,0.80516,0.78795,0.79403
22,0.82863,0.81379,0.78817,0.79733
23,0.82863,0.80914,0.79436,0.79984
24,0.82843,0.81194,0.78806,0.79706
25,0.83655,0.81843,0.80637,0.81101
26,0.81725,0.80109,0.77352,0.78146
27,0.82111,0.80211,0.78256,0.78950
28,0.82111,0.80711,0.77637,0.78518
29,0.82497,0.80953,0.78542,0.79374
30,0.82883,0.81556,0.78828,0.79745
31,0.82883,0.81556,0.78828,0.79745
32,0.83635,0.82904,0.79079,0.80323
33,0.82863,0.81070,0.79401,0.79967
34,0.82863,0.81943,0.78198,0.79350
