K,Alpha,Accuracy,Precision,Recall,F1 score
1,0.20000,0.80225,0.77562,0.79014,0.78140
1,0.40000,0.80208,0.77562,0.78987,0.78106
1,0.50000,0.80214,0.77602,0.79014,0.78117
1,0.60000,0.79456,0.76746,0.77851,0.77153
1,0.80000,0.80225,0.77733,0.78703,0.78001
2,0.20000,0.77940,0.76037,0.71291,0.72572
2,0.40000,0.77567,0.75912,0.70459,0.71889
2,0.50000,0.77940,0.76338,0.71027,0.72455
2,0.60000,0.77940,0.76338,0.71027,0.72455
2,0.80000,0.77940,0.76338,0.71027,0.72455
3,0.20000,0.77160,0.74029,0.74306,0.74134
3,0.40000,0.77935,0.74942,0.75186,0.75008
3,0.50000,0.78692,0.75810,0.76059,0.75900
3,0.60000,0.78681,0.75847,0.76343,0.76039
3,0.80000,0.77929,0.75114,0.76071,0.75431
4,0.20000,0.79083,0.78182,0.72744,0.74046
4,0.40000,0.79060,0.77257,0.73306,0.74433
4,0.50000,0.79444,0.78209,0.73300,0.74657
4,0.60000,0.79450,0.78857,0.73016,0.74500
4,0.80000,0.79467,0.78542,0.73354,0.74798
5,0.20000,0.79462,0.77199,0.76011,0.76267
5,0.40000,0.81350,0.78986,0.78332,0.78473
5,0.50000,0.80983,0.78867,0.78074,0.78223
5,0.60000,0.82125,0.80321,0.79232,0.79532
5,0.80000,0.79077,0.76752,0.75748,0.75938
6,0.20000,0.77946,0.76214,0.71919,0.73110
6,0.40000,0.79467,0.77952,0.73956,0.75130
6,0.50000,0.80231,0.79290,0.74808,0.76066
6,0.60000,0.79858,0.79203,0.73929,0.75297
6,0.80000,0.79467,0.78435,0.74213,0.75242
7,0.20000,0.78681,0.76177,0.74536,0.74931
7,0.40000,0.79094,0.76877,0.74875,0.75492
7,0.50000,0.79462,0.77025,0.75437,0.75993
7,0.60000,0.79456,0.76916,0.76032,0.76346
7,0.80000,0.79473,0.77565,0.76322,0.76476
8,0.20000,0.79467,0.78354,0.73941,0.75047
8,0.40000,0.79852,0.79281,0.74225,0.75437
8,0.50000,0.80214,0.79547,0.74470,0.75708
8,0.60000,0.80214,0.79367,0.74754,0.75873
8,0.80000,0.80219,0.78611,0.75660,0.76477
9,0.20000,0.80190,0.77680,0.76809,0.76889
9,0.40000,0.80202,0.77855,0.76525,0.76812
9,0.50000,0.80564,0.78033,0.76797,0.77175
9,0.60000,0.80948,0.78489,0.77392,0.77744
9,0.80000,0.79456,0.76945,0.76295,0.76377
10,0.20000,0.79835,0.77752,0.75098,0.75960
10,0.40000,0.80965,0.78916,0.76512,0.77336
10,0.50000,0.82865,0.81815,0.78211,0.79306
10,0.60000,0.82860,0.81617,0.78211,0.79305
10,0.80000,0.81356,0.79791,0.77108,0.77911
11,0.20000,0.81717,0.79274,0.78534,0.78709
11,0.40000,0.80959,0.78549,0.77682,0.77880
11,0.50000,0.81711,0.79429,0.78534,0.78723
11,0.60000,0.81333,0.78812,0.78562,0.78514
11,0.80000,0.81344,0.78973,0.78589,0.78600
12,0.20000,0.82125,0.80932,0.77365,0.78456
12,0.40000,0.82498,0.81145,0.78223,0.79085
12,0.50000,0.81344,0.79365,0.77371,0.77955
12,0.60000,0.81735,0.80629,0.77371,0.78254
12,0.80000,0.83238,0.81749,0.79380,0.80064
13,0.20000,0.82859,0.80653,0.79692,0.79989
13,0.40000,0.81740,0.79518,0.78858,0.78923
13,0.50000,0.80977,0.78475,0.78311,0.78232
13,0.60000,0.81746,0.79691,0.78879,0.78990
13,0.80000,0.81344,0.78869,0.78873,0.78679
14,0.20000,0.81711,0.79619,0.77622,0.78184
14,0.40000,0.83244,0.81652,0.79380,0.80112
14,0.50000,0.82108,0.80287,0.78244,0.78868
14,0.60000,0.81361,0.79460,0.77398,0.78032
14,0.80000,0.82877,0.81565,0.79103,0.79699
15,0.20000,0.80954,0.78455,0.77371,0.77681
15,0.40000,0.82102,0.79988,0.78819,0.79054
15,0.50000,0.81729,0.79400,0.78562,0.78782
15,0.60000,0.82498,0.80430,0.79731,0.79808
15,0.80000,0.83256,0.81488,0.80293,0.80522
16,0.20000,0.80959,0.78864,0.76485,0.77237
16,0.40000,0.82102,0.80174,0.77933,0.78676
16,0.50000,0.82102,0.79997,0.78528,0.78960
16,0.60000,0.82877,0.81466,0.79123,0.79810
16,0.80000,0.82119,0.80313,0.78271,0.78948
17,0.20000,0.81338,0.78955,0.77960,0.78226
17,0.40000,0.82102,0.79817,0.79150,0.79349
17,0.50000,0.81344,0.78869,0.78873,0.78679
17,0.60000,0.82108,0.79879,0.79441,0.79395
17,0.80000,0.82492,0.80637,0.79435,0.79678
18,0.20000,0.81723,0.80024,0.77054,0.77987
18,0.40000,0.81338,0.79225,0.77054,0.77709
18,0.50000,0.82090,0.80245,0.78190,0.78632
18,0.60000,0.81717,0.79852,0.77622,0.78169
18,0.80000,0.82108,0.80287,0.78244,0.78868
19,0.20000,0.83238,0.81461,0.79665,0.80175
19,0.40000,0.83629,0.81593,0.80882,0.81080
19,0.50000,0.82487,0.80333,0.79719,0.79775
19,0.60000,0.81717,0.79373,0.78839,0.78859
19,0.80000,0.80983,0.78647,0.78311,0.78234
20,0.20000,0.82107,0.80261,0.77933,0.78653
20,0.40000,0.84019,0.82460,0.80571,0.81203
20,0.50000,0.82871,0.81103,0.79123,0.79802
20,0.60000,0.81361,0.79220,0.77419,0.78089
20,0.80000,0.81734,0.79497,0.78277,0.78708
21,0.20000,0.82481,0.80655,0.78501,0.79128
21,0.40000,0.82504,0.80525,0.79441,0.79688
21,0.50000,0.81735,0.79385,0.78873,0.78959
21,0.60000,0.80971,0.78602,0.77709,0.77953
21,0.80000,0.80609,0.78224,0.77743,0.77767
22,0.20000,0.82481,0.80655,0.78501,0.79128
