K,Accuracy,Precision,Recall,F1 score
1,0.82903,0.80634,0.81625,0.80880
2,0.78695,0.78333,0.71284,0.72681
3,0.78309,0.75991,0.76086,0.75731
4,0.78656,0.76597,0.72705,0.73699
5,0.80180,0.77852,0.77172,0.77306
6,0.79774,0.77816,0.75018,0.75937
7,0.78250,0.75424,0.75090,0.75175
8,0.80160,0.78051,0.75579,0.76406
9,0.80121,0.77497,0.76725,0.76970
10,0.79735,0.77051,0.76130,0.76392
11,0.80507,0.77972,0.78249,0.78008
12,0.81279,0.79012,0.77582,0.78017
13,0.80546,0.78124,0.78271,0.77959
14,0.82051,0.79837,0.78773,0.79026
15,0.82071,0.79684,0.80022,0.79718
16,0.81299,0.78963,0.77903,0.78138
17,0.81299,0.78846,0.78522,0.78560
18,0.81685,0.79436,0.78223,0.78631
19,0.80933,0.78532,0.77973,0.78061
20,0.79794,0.77254,0.76233,0.76582
21,0.81319,0.78895,0.78568,0.78647
22,0.82071,0.79914,0.78509,0.79031
23,0.82437,0.80226,0.79368,0.79653
24,0.82457,0.80631,0.78485,0.79207
25,0.82477,0.80366,0.79425,0.79748
26,0.81705,0.79832,0.77615,0.78292
27,0.81705,0.79444,0.78544,0.78805
28,0.81705,0.79765,0.77615,0.78131
29,0.82863,0.80914,0.79985,0.80176
30,0.82091,0.80365,0.78176,0.78718
31,0.83249,0.81434,0.80271,0.80566
32,0.82477,0.80651,0.79081,0.79505
33,0.82111,0.79972,0.79425,0.79478
34,0.81705,0.79832,0.77890,0.78372
