K,Alpha,Accuracy,Precision,Recall,F1 score
1,0.20000,0.80225,0.77502,0.78419,0.77902
1,0.40000,0.80983,0.78388,0.79271,0.78751
1,0.50000,0.80598,0.77943,0.78987,0.78380
1,0.60000,0.80598,0.77943,0.78987,0.78380
1,0.80000,0.80592,0.77912,0.78981,0.78370
2,0.20000,0.76804,0.74597,0.69870,0.71122
2,0.40000,0.77957,0.76200,0.71054,0.72452
2,0.50000,0.77963,0.76331,0.71081,0.72518
2,0.60000,0.77963,0.76331,0.71081,0.72518
2,0.80000,0.77200,0.75277,0.70202,0.71562
3,0.20000,0.77527,0.74414,0.74868,0.74590
3,0.40000,0.79060,0.76154,0.76337,0.76228
3,0.50000,0.79060,0.76154,0.76337,0.76228
3,0.60000,0.78675,0.75720,0.75741,0.75719
3,0.80000,0.78681,0.75764,0.75457,0.75599
4,0.20000,0.78313,0.76548,0.72197,0.73447
4,0.40000,0.78308,0.76065,0.72502,0.73632
4,0.50000,0.79066,0.76951,0.73665,0.74755
4,0.60000,0.80214,0.78769,0.74802,0.76071
4,0.80000,0.79456,0.78002,0.73638,0.74916
5,0.20000,0.79054,0.76172,0.76289,0.76127
5,0.40000,0.79829,0.77042,0.77506,0.77245
5,0.50000,0.80960,0.78365,0.78352,0.78346
5,0.60000,0.80592,0.77934,0.78095,0.78008
5,0.80000,0.79846,0.77192,0.77222,0.77152
6,0.20000,0.78325,0.76277,0.72799,0.73875
6,0.40000,0.79444,0.77401,0.74524,0.75354
6,0.50000,0.79066,0.76715,0.74240,0.75056
6,0.60000,0.79835,0.77958,0.74808,0.75786
6,0.80000,0.79846,0.78220,0.75098,0.75970
7,0.20000,0.79071,0.76570,0.75443,0.75777
7,0.40000,0.80202,0.77786,0.76546,0.76931
7,0.50000,0.80202,0.77786,0.76546,0.76931
7,0.60000,0.80208,0.77902,0.76857,0.77156
7,0.80000,0.79840,0.77379,0.76579,0.76750
8,0.20000,0.78331,0.76493,0.72805,0.73899
8,0.40000,0.80598,0.79249,0.75349,0.76513
8,0.50000,0.81344,0.80116,0.76195,0.77369
8,0.60000,0.80960,0.79765,0.75600,0.76743
8,0.80000,0.80214,0.78445,0.75349,0.76243
9,0.20000,0.79806,0.77187,0.76214,0.76383
9,0.40000,0.80208,0.77782,0.76851,0.77114
9,0.50000,0.81712,0.79342,0.78576,0.78863
9,0.60000,0.80196,0.77517,0.77446,0.77384
9,0.80000,0.79427,0.76604,0.76878,0.76669
10,0.20000,0.80592,0.78694,0.75924,0.76752
10,0.40000,0.80587,0.78670,0.75938,0.76840
10,0.50000,0.81350,0.79690,0.76533,0.77632
10,0.60000,0.80592,0.78312,0.76567,0.77240
10,0.80000,0.81717,0.79692,0.77697,0.78460
11,0.20000,0.82859,0.80643,0.79982,0.80084
11,0.40000,0.80977,0.78575,0.78311,0.78246
11,0.50000,0.81740,0.79444,0.78893,0.79025
11,0.60000,0.81361,0.78863,0.78616,0.78656
11,0.80000,0.82108,0.79766,0.79462,0.79512
12,0.20000,0.82113,0.80273,0.77933,0.78639
12,0.40000,0.81729,0.79914,0.77392,0.78297
12,0.50000,0.82486,0.80579,0.78549,0.79326
12,0.60000,0.82865,0.80940,0.79117,0.79797
12,0.80000,0.82486,0.80743,0.78522,0.79228
13,0.20000,0.82102,0.79695,0.79130,0.79264
13,0.40000,0.81344,0.78964,0.78284,0.78482
13,0.50000,0.81344,0.78778,0.78589,0.78603
13,0.60000,0.80959,0.78339,0.77993,0.78054
13,0.80000,0.81723,0.79243,0.78846,0.78877
14,0.20000,0.80586,0.78466,0.75917,0.76748
14,0.40000,0.81706,0.79460,0.77642,0.78329
14,0.50000,0.81711,0.79368,0.77954,0.78493
14,0.60000,0.81333,0.78897,0.77670,0.78109
14,0.80000,0.80586,0.78174,0.76803,0.77194
15,0.20000,0.81327,0.78873,0.77649,0.78046
15,0.40000,0.80954,0.78387,0.77676,0.77839
15,0.50000,0.80948,0.78223,0.77987,0.78033
15,0.60000,0.80959,0.78428,0.77392,0.77742
15,0.80000,0.80592,0.78156,0.77404,0.77489
16,0.20000,0.81729,0.79963,0.77054,0.77972
16,0.40000,0.80202,0.77907,0.75633,0.76395
16,0.50000,0.80965,0.78897,0.76797,0.77463
16,0.60000,0.81344,0.79278,0.77365,0.77932
16,0.80000,0.81356,0.79603,0.77371,0.77957
17,0.20000,0.82107,0.79973,0.78555,0.79057
17,0.40000,0.81367,0.79052,0.78020,0.78388
17,0.50000,0.81356,0.79035,0.78589,0.78594
17,0.60000,0.81723,0.79696,0.78819,0.78771
17,0.80000,0.82113,0.80001,0.79441,0.79435
18,0.20000,0.81729,0.79900,0.77365,0.78182
18,0.40000,0.80971,0.79414,0.76201,0.77144
18,0.50000,0.80977,0.79258,0.76512,0.77361
18,0.60000,0.81350,0.79690,0.77074,0.77814
18,0.80000,0.81723,0.79749,0.77649,0.78316
19,0.20000,0.82854,0.81049,0.79069,0.79591
19,0.40000,0.82102,0.79814,0.78819,0.79070
19,0.50000,0.81350,0.78954,0.77966,0.78211
19,0.60000,0.81723,0.79418,0.78555,0.78783
19,0.80000,0.82509,0.80461,0.79468,0.79802
20,0.20000,0.82107,0.80261,0.77933,0.78653
20,0.40000,0.82871,0.81036,0.79096,0.79696
20,0.50000,0.81350,0.79239,0.77081,0.77803
20,0.60000,0.80965,0.78809,0.76797,0.77433
20,0.80000,0.82509,0.80772,0.78582,0.79408
21,0.20000,0.82481,0.80381,0.79096,0.79416
21,0.40000,0.82859,0.80688,0.79692,0.80003
21,0.50000,0.82871,0.80678,0.80030,0.80250
21,0.60000,0.82108,0.79857,0.79150,0.79331
21,0.80000,0.82113,0.79838,0.79462,0.79500
22,0.20000,0.81740,0.80096,0.77365,0.78150
22,0.40000,0.82492,0.80745,0.78528,0.79245
22,0.50000,0.83261,0.81531,0.79719,0.80368
22,0.60000,0.82883,0.81170,0.79150,0.79897
22,0.80000,0.82492,0.80598,0.79123,0.79526
23,0.20000,0.82102,0.79997,0.78528,0.78960
23,0.40000,0.83634,0.81670,0.80598,0.81001
23,0.50000,0.83634,0.81670,0.80598,0.81001
23,0.60000,0.82883,0.81060,0.79435,0.79984
23,0.80000,0.82113,0.79777,0.79462,0.79474
24,0.20000,0.82486,0.80597,0.78812,0.79328
24,0.40000,0.82492,0.80970,0.78244,0.79117
24,0.50000,0.83646,0.82065,0.80003,0.80728
24,0.60000,0.82498,0.80639,0.78839,0.79429
24,0.80000,0.83256,0.81530,0.80003,0.80488
25,0.20000,0.82871,0.80814,0.79719,0.80076
25,0.40000,0.84019,0.82078,0.81193,0.81537
25,0.50000,0.83640,0.81810,0.80598,0.81006
25,0.60000,0.82883,0.80805,0.79746,0.80142
25,0.80000,0.82498,0.80360,0.79746,0.79867
26,0.20000,0.82877,0.81165,0.79123,0.79800
26,0.40000,0.83261,0.81466,0.79719,0.80360
26,0.50000,0.82883,0.81105,0.79150,0.79888
26,0.60000,0.82498,0.80639,0.78839,0.79429
26,0.80000,0.82877,0.80818,0.79746,0.80149
27,0.20000,0.83267,0.81468,0.80030,0.80520
27,0.40000,0.82883,0.80805,0.79746,0.80142
27,0.50000,0.83267,0.81182,0.80341,0.80665
27,0.60000,0.82504,0.80327,0.79462,0.79732
27,0.80000,0.82113,0.79686,0.79773,0.79638
28,0.20000,0.81723,0.79928,0.77338,0.78078
28,0.40000,0.82877,0.81110,0.79123,0.79813
28,0.50000,0.83646,0.81886,0.80314,0.80915
28,0.60000,0.83261,0.81466,0.79719,0.80360
28,0.80000,0.83256,0.81389,0.80003,0.80451
29,0.20000,0.82877,0.81110,0.79123,0.79813
29,0.40000,0.83646,0.81816,0.80314,0.80887
29,0.50000,0.83646,0.81715,0.80625,0.81075
29,0.60000,0.83256,0.81162,0.80625,0.80806
29,0.80000,0.82486,0.80239,0.79435,0.79702
