K,Alpha,Accuracy,Precision,Recall,F1 score
1,0.20000,0.78698,0.76036,0.77573,0.76534
1,0.40000,0.78314,0.75529,0.76694,0.75922
1,0.50000,0.78710,0.75938,0.76694,0.76196
1,0.60000,0.78710,0.75938,0.76694,0.76196
1,0.80000,0.78698,0.75840,0.76687,0.76185
2,0.20000,0.78710,0.77815,0.71595,0.73176
2,0.40000,0.78331,0.77328,0.71318,0.72787
2,0.50000,0.78325,0.77145,0.71311,0.72782
2,0.60000,0.77952,0.76736,0.70743,0.72237
2,0.80000,0.77590,0.76325,0.70202,0.71720
3,0.20000,0.78314,0.75548,0.75754,0.75492
3,0.40000,0.78710,0.75964,0.76356,0.76035
3,0.50000,0.78710,0.75964,0.76356,0.76035
3,0.60000,0.78704,0.75910,0.76065,0.75916
3,0.80000,0.78308,0.75344,0.75464,0.75364
4,0.20000,0.78325,0.77083,0.72481,0.73642
4,0.40000,0.78716,0.77494,0.72792,0.74089
4,0.50000,0.79473,0.78623,0.73354,0.74808
4,0.60000,0.80989,0.80299,0.75363,0.76842
4,0.80000,0.80610,0.79714,0.75086,0.76463
5,0.20000,0.80592,0.78195,0.77784,0.77844
5,0.40000,0.81373,0.79311,0.78352,0.78614
5,0.50000,0.80615,0.78460,0.77479,0.77740
5,0.60000,0.80615,0.78460,0.77479,0.77740
5,0.80000,0.80231,0.77820,0.77195,0.77357
6,0.20000,0.79841,0.78922,0.74490,0.75605
6,0.40000,0.80610,0.80192,0.75059,0.76350
6,0.50000,0.80610,0.80192,0.75059,0.76350
6,0.60000,0.80989,0.80615,0.75627,0.76852
6,0.80000,0.80615,0.79739,0.75660,0.76746
7,0.20000,0.79094,0.77124,0.75464,0.75865
7,0.40000,0.79444,0.76963,0.76573,0.76427
7,0.50000,0.78669,0.76094,0.75403,0.75453
7,0.60000,0.79450,0.76994,0.75978,0.76153
7,0.80000,0.79439,0.76749,0.76282,0.76373
8,0.20000,0.81367,0.80497,0.76533,0.77657
8,0.40000,0.79462,0.78490,0.73922,0.75088
8,0.50000,0.79835,0.78870,0.74490,0.75582
8,0.60000,0.78693,0.77405,0.73333,0.74285
8,0.80000,0.79456,0.77799,0.74213,0.75233
9,0.20000,0.79083,0.76761,0.75437,0.75799
9,0.40000,0.80219,0.78775,0.76573,0.77055
9,0.50000,0.80214,0.78727,0.76546,0.77007
9,0.60000,0.80208,0.78336,0.77141,0.77269
9,0.80000,0.80196,0.77780,0.77736,0.77479
10,0.20000,0.79456,0.77766,0.74213,0.75275
10,0.40000,0.79840,0.78559,0.75071,0.75937
10,0.50000,0.79462,0.78151,0.74503,0.75431
10,0.60000,0.79840,0.78559,0.75071,0.75937
10,0.80000,0.79450,0.77318,0.74787,0.75534
11,0.20000,0.80196,0.77477,0.77452,0.77381
11,0.40000,0.79817,0.77009,0.77141,0.76950
11,0.50000,0.80202,0.77530,0.77425,0.77317
11,0.60000,0.80971,0.78596,0.77993,0.78045
11,0.80000,0.82102,0.79674,0.79725,0.79505
12,0.20000,0.81344,0.79309,0.77101,0.77902
12,0.40000,0.82096,0.80068,0.78238,0.78862
12,0.50000,0.81717,0.79615,0.77954,0.78488
12,0.60000,0.81712,0.79577,0.77927,0.78376
12,0.80000,0.82096,0.80189,0.78501,0.78845
13,0.20000,0.80586,0.77972,0.78311,0.77949
13,0.40000,0.81344,0.78970,0.78562,0.78491
13,0.50000,0.80208,0.77678,0.77716,0.77400
13,0.60000,0.80586,0.77972,0.78311,0.77949
13,0.80000,0.80954,0.78414,0.77966,0.77948
14,0.20000,0.79823,0.77261,0.75924,0.76225
14,0.40000,0.80586,0.78565,0.76181,0.76733
14,0.50000,0.80592,0.78589,0.76492,0.76955
14,0.60000,0.79834,0.77617,0.75639,0.76117
14,0.80000,0.80208,0.77739,0.76519,0.76816
15,0.20000,0.80190,0.77469,0.77398,0.77215
15,0.40000,0.80581,0.78053,0.77993,0.77763
15,0.50000,0.80208,0.77678,0.77716,0.77400
15,0.60000,0.80202,0.77634,0.77404,0.77212
15,0.80000,0.80575,0.78010,0.77682,0.77575
16,0.20000,0.80569,0.78208,0.76485,0.76978
16,0.40000,0.80190,0.77571,0.76201,0.76610
16,0.50000,0.79444,0.76736,0.75646,0.75893
16,0.60000,0.79817,0.77138,0.75924,0.76249
16,0.80000,0.81729,0.79813,0.77939,0.78395
17,0.20000,0.79438,0.76718,0.76836,0.76484
17,0.40000,0.80592,0.78126,0.78006,0.77774
17,0.50000,0.79840,0.77288,0.77154,0.76949
17,0.60000,0.79840,0.77288,0.77154,0.76949
17,0.80000,0.80196,0.77548,0.77404,0.77230
18,0.20000,0.80586,0.78308,0.76803,0.77176
18,0.40000,0.80959,0.78543,0.77371,0.77650
18,0.50000,0.81344,0.79167,0.77655,0.78011
18,0.60000,0.81338,0.78963,0.77960,0.78214
18,0.80000,0.82865,0.81139,0.79096,0.79721
19,0.20000,0.79835,0.77256,0.77147,0.76944
19,0.40000,0.80202,0.77701,0.77709,0.77399
19,0.50000,0.80202,0.77701,0.77709,0.77399
19,0.60000,0.81717,0.79272,0.79150,0.79047
19,0.80000,0.81729,0.79444,0.79157,0.79054
20,0.20000,0.81356,0.79260,0.77987,0.78318
20,0.40000,0.80971,0.78804,0.77392,0.77749
20,0.50000,0.80960,0.78559,0.77676,0.77841
20,0.60000,0.81350,0.79024,0.77987,0.78307
20,0.80000,0.82125,0.80225,0.78582,0.79141
21,0.20000,0.80977,0.78659,0.78304,0.78227
21,0.40000,0.81356,0.79035,0.78589,0.78594
21,0.50000,0.81729,0.79453,0.78866,0.78959
21,0.60000,0.81350,0.79077,0.78582,0.78592
21,0.80000,0.82498,0.80449,0.79746,0.79889
22,0.20000,0.80213,0.78006,0.76519,0.76820
22,0.40000,0.81344,0.79364,0.77670,0.78118
22,0.50000,0.80586,0.78439,0.76797,0.77182
22,0.60000,0.80960,0.78833,0.77365,0.77657
22,0.80000,0.81729,0.79560,0.78271,0.78678
23,0.20000,0.79461,0.77012,0.76268,0.76289
23,0.40000,0.80604,0.78216,0.78027,0.77859
23,0.50000,0.80977,0.78760,0.77993,0.78039
23,0.60000,0.81350,0.79178,0.78271,0.78404
23,0.80000,0.81729,0.79519,0.78866,0.78986
24,0.20000,0.79456,0.77213,0.75355,0.75745
24,0.40000,0.81717,0.79843,0.77927,0.78381
24,0.50000,0.82113,0.80113,0.78839,0.79124
24,0.60000,0.82113,0.80475,0.78528,0.78971
24,0.80000,0.80971,0.79202,0.76797,0.77475
25,0.20000,0.80202,0.77788,0.76803,0.76900
25,0.40000,0.82119,0.80174,0.79150,0.79333
25,0.50000,0.82119,0.80174,0.79150,0.79333
25,0.60000,0.82119,0.79983,0.79462,0.79500
25,0.80000,0.82113,0.80010,0.79150,0.79340
26,0.20000,0.81356,0.80649,0.76458,0.77251
26,0.40000,0.81350,0.79838,0.77365,0.77913
26,0.50000,0.82492,0.81045,0.78528,0.79255
26,0.60000,0.82877,0.81008,0.79435,0.79983
26,0.80000,0.82113,0.80194,0.78839,0.79154
27,0.20000,0.82877,0.81215,0.79719,0.80107
27,0.40000,0.80977,0.79087,0.77993,0.78100
27,0.50000,0.80592,0.78494,0.77398,0.77493
27,0.60000,0.81735,0.79633,0.78866,0.78972
27,0.80000,0.82498,0.80550,0.79435,0.79701
28,0.20000,0.81746,0.80284,0.77676,0.78338
28,0.40000,0.81361,0.79659,0.77392,0.78020
28,0.50000,0.82492,0.80991,0.78812,0.79345
28,0.60000,0.81723,0.79853,0.77933,0.78368
28,0.80000,0.82108,0.80233,0.78528,0.78959
29,0.20000,0.80604,0.78432,0.77452,0.77629
29,0.40000,0.81740,0.79699,0.78582,0.78867
29,0.50000,0.82498,0.80449,0.79746,0.79889
29,0.60000,0.81729,0.79728,0.78555,0.78774
29,0.80000,0.84019,0.82176,0.81477,0.81626
