K,Accuracy,Precision,Recall,F1 score
1,0.80972,0.78325,0.79542,0.78679
2,0.79467,0.78767,0.72749,0.74070
3,0.80606,0.78493,0.78374,0.78170
4,0.79794,0.78441,0.73826,0.75089
5,0.78656,0.76250,0.75386,0.75495
6,0.79408,0.77483,0.74159,0.75208
7,0.77864,0.75265,0.75114,0.74995
8,0.79042,0.76732,0.74469,0.75190
9,0.79022,0.76347,0.75971,0.76020
10,0.80180,0.78050,0.75934,0.76663
11,0.79388,0.76658,0.76830,0.76647
12,0.80527,0.78547,0.76163,0.76939
13,0.82051,0.79739,0.79392,0.79435
14,0.81665,0.79487,0.78178,0.78536
15,0.82823,0.80635,0.80273,0.80347
16,0.82071,0.80144,0.78200,0.78771
17,0.80566,0.78015,0.78007,0.77825
18,0.81319,0.78918,0.78568,0.78554
19,0.82111,0.79812,0.80079,0.79810
20,0.80933,0.78794,0.77353,0.77665
21,0.81299,0.78994,0.78522,0.78510
22,0.80566,0.78178,0.77114,0.77458
23,0.80566,0.78140,0.78007,0.77874
24,0.80586,0.78244,0.77125,0.77388
25,0.80566,0.78009,0.77698,0.77689
26,0.80180,0.77748,0.76793,0.76941
27,0.80566,0.78178,0.77698,0.77703
28,0.80586,0.78198,0.76505,0.76858
29,0.81725,0.79579,0.78555,0.78787
30,0.80220,0.77945,0.75956,0.76541
31,0.81725,0.79467,0.78555,0.78782
32,0.81744,0.80084,0.77397,0.78292
33,0.82863,0.81101,0.79401,0.79883
34,0.82497,0.81113,0.78233,0.79165
