K,Accuracy,Precision,Recall,F1 score
1,0.70579,0.70563,0.67832,0.67488
2,0.78780,0.80323,0.81224,0.78298
3,0.83541,0.83849,0.84260,0.82919
4,0.79878,0.80697,0.82117,0.79448
5,0.79054,0.78892,0.79082,0.78122
6,0.81069,0.81378,0.83010,0.80595
7,0.80062,0.80255,0.79617,0.78893
8,0.81069,0.81899,0.82117,0.80195
9,0.84549,0.84753,0.84796,0.83347
10,0.83358,0.83365,0.83903,0.82312
11,0.82259,0.80975,0.81173,0.80779
12,0.81161,0.80958,0.81939,0.80349
13,0.83342,0.83047,0.82296,0.81870
14,0.80961,0.80261,0.81046,0.79924
15,0.82351,0.81820,0.81531,0.80961
16,0.83450,0.82880,0.83724,0.82513
17,0.85739,0.85349,0.85510,0.84646
18,0.82259,0.82188,0.82832,0.81211
19,0.85648,0.86341,0.85510,0.84529
