K,Alpha,Accuracy,Precision,Recall,F1 score
1,0.20000,0.76261,0.75240,0.73695,0.73430
1,0.40000,0.79784,0.78814,0.77112,0.77431
1,0.50000,0.81034,0.80210,0.78073,0.78550
1,0.60000,0.81034,0.80210,0.78073,0.78550
1,0.80000,0.79784,0.78722,0.76288,0.76744
2,0.20000,0.77462,0.78512,0.80117,0.77095
2,0.40000,0.77516,0.78075,0.79516,0.76953
2,0.50000,0.78766,0.79022,0.80477,0.78139
2,0.60000,0.76380,0.76039,0.77129,0.75474
2,0.80000,0.77684,0.76938,0.78159,0.76718
3,0.20000,0.78653,0.77821,0.77713,0.77049
3,0.40000,0.79675,0.78142,0.77558,0.77356
3,0.50000,0.78539,0.76903,0.75996,0.76111
3,0.60000,0.79729,0.78225,0.76957,0.77202
3,0.80000,0.76266,0.74757,0.72871,0.73351
4,0.20000,0.79957,0.79853,0.80168,0.78794
4,0.40000,0.82343,0.81964,0.82692,0.81447
4,0.50000,0.82343,0.81964,0.82692,0.81447
4,0.60000,0.79903,0.79614,0.79945,0.78837
4,0.80000,0.78766,0.78099,0.78383,0.77631
5,0.20000,0.78707,0.77760,0.77713,0.77218
5,0.40000,0.81093,0.80089,0.79567,0.79496
5,0.50000,0.79957,0.79037,0.78674,0.78390
5,0.60000,0.77630,0.76417,0.75549,0.75704
5,0.80000,0.79957,0.79543,0.76803,0.77394
6,0.20000,0.81039,0.80563,0.81662,0.80233
6,0.40000,0.78653,0.77637,0.78984,0.77657
6,0.50000,0.78653,0.77637,0.78984,0.77657
6,0.60000,0.77516,0.76458,0.78091,0.76577
6,0.80000,0.78766,0.77453,0.77782,0.77138
7,0.20000,0.79843,0.79083,0.77936,0.77878
7,0.40000,0.78707,0.77799,0.77043,0.76738
7,0.50000,0.78761,0.77150,0.77112,0.76833
7,0.60000,0.77570,0.75948,0.75549,0.75400
7,0.80000,0.79957,0.79075,0.77404,0.77605
8,0.20000,0.77516,0.76535,0.78091,0.76657
8,0.40000,0.77516,0.76127,0.77421,0.76456
8,0.50000,0.78653,0.77306,0.78314,0.77536
8,0.60000,0.79843,0.78329,0.79275,0.78651
8,0.80000,0.79789,0.78465,0.78606,0.78373
9,0.20000,0.82229,0.80889,0.80529,0.80658
9,0.40000,0.82229,0.81373,0.79859,0.80331
9,0.50000,0.81093,0.79729,0.78966,0.79247
9,0.60000,0.82284,0.81395,0.79928,0.80371
9,0.80000,0.78653,0.79425,0.74279,0.75320
10,0.20000,0.77570,0.76506,0.78159,0.76667
10,0.40000,0.82175,0.80739,0.81130,0.80883
10,0.50000,0.82175,0.80739,0.81130,0.80883
10,0.60000,0.81039,0.79567,0.79567,0.79567
10,0.80000,0.77522,0.76530,0.74811,0.75378
11,0.20000,0.82175,0.81632,0.80460,0.80720
11,0.40000,0.84502,0.83345,0.82984,0.83113
11,0.50000,0.82175,0.81098,0.79859,0.80221
11,0.60000,0.82229,0.81998,0.79258,0.79849
11,0.80000,0.81093,0.82650,0.77026,0.78020
12,0.20000,0.82235,0.81528,0.81954,0.81388
12,0.40000,0.84670,0.83468,0.85148,0.83949
12,0.50000,0.84616,0.83389,0.84478,0.83773
12,0.60000,0.84502,0.83345,0.82984,0.83113
12,0.80000,0.83420,0.83017,0.80821,0.81562
13,0.20000,0.81039,0.80988,0.78898,0.79244
13,0.40000,0.82175,0.81026,0.80460,0.80685
13,0.50000,0.83312,0.82916,0.81353,0.81859
13,0.60000,0.84502,0.83970,0.82315,0.82967
