K,Accuracy,Precision,Recall,F1 score
1,0.78563,0.78217,0.75281,0.75705
2,0.82060,0.81446,0.83010,0.81319
3,0.84257,0.85411,0.81709,0.82354
4,0.85739,0.85796,0.85281,0.84949
5,0.82259,0.82401,0.79745,0.80178
6,0.83358,0.83552,0.81173,0.81696
7,0.84457,0.86806,0.80638,0.81819
8,0.85556,0.85726,0.84388,0.84433
9,0.87937,0.89365,0.85638,0.86562
10,0.85648,0.86587,0.84745,0.84428
11,0.85847,0.88146,0.82551,0.83560
12,0.87038,0.87769,0.85765,0.85827
13,0.85648,0.87976,0.81658,0.83002
14,0.87038,0.89396,0.84337,0.84969
15,0.89327,0.92015,0.86122,0.87364
16,0.88228,0.90031,0.86122,0.86703
17,0.87038,0.89178,0.83801,0.85206
18,0.85847,0.87645,0.84337,0.84439
19,0.88137,0.89972,0.85230,0.86419
