K,Alpha,Accuracy,Precision,Recall,F1 score
1,0.20000,0.75124,0.74188,0.72802,0.72324
1,0.40000,0.76320,0.74477,0.73764,0.73825
1,0.50000,0.78761,0.77076,0.76288,0.76378
1,0.60000,0.78761,0.77076,0.76288,0.76378
1,0.80000,0.78761,0.77076,0.76288,0.76378
2,0.20000,0.75076,0.76639,0.78262,0.74807
2,0.40000,0.76266,0.77374,0.79224,0.75981
2,0.50000,0.76266,0.77374,0.79224,0.75981
2,0.60000,0.77516,0.78194,0.80185,0.77163
2,0.80000,0.78820,0.78237,0.79722,0.78008
3,0.20000,0.79903,0.79289,0.79499,0.78508
3,0.40000,0.79903,0.78767,0.78005,0.78101
3,0.50000,0.79903,0.78767,0.78005,0.78101
3,0.60000,0.79848,0.78694,0.77335,0.77738
3,0.80000,0.80979,0.80647,0.77473,0.78221
4,0.20000,0.78820,0.79667,0.79876,0.77853
4,0.40000,0.81207,0.80990,0.81130,0.80002
4,0.50000,0.79957,0.79662,0.79344,0.78508
4,0.60000,0.79957,0.79662,0.79344,0.78508
4,0.80000,0.82229,0.81328,0.81130,0.80741
5,0.20000,0.77570,0.76870,0.76820,0.76129
5,0.40000,0.79957,0.79037,0.78674,0.78390
5,0.50000,0.78766,0.77715,0.77112,0.76994
5,0.60000,0.79903,0.79097,0.78674,0.78222
5,0.80000,0.82229,0.81953,0.79928,0.79954
6,0.20000,0.79903,0.79805,0.80769,0.79124
6,0.40000,0.76380,0.75700,0.77198,0.75467
6,0.50000,0.77516,0.76458,0.78091,0.76577
6,0.60000,0.79903,0.78913,0.79945,0.78829
6,0.80000,0.81093,0.79936,0.80907,0.79945
7,0.20000,0.79843,0.78813,0.78606,0.78324
7,0.40000,0.79843,0.78813,0.78606,0.78324
7,0.50000,0.78766,0.77753,0.76442,0.76515
7,0.60000,0.79903,0.80416,0.77335,0.77609
7,0.80000,0.78766,0.79436,0.75841,0.76040
8,0.20000,0.79903,0.79287,0.80769,0.79255
8,0.40000,0.79789,0.78709,0.79876,0.78885
8,0.50000,0.78653,0.77712,0.78314,0.77548
8,0.60000,0.75135,0.73868,0.74897,0.74000
8,0.80000,0.76272,0.75326,0.75790,0.75117
9,0.20000,0.84556,0.83550,0.82984,0.83209
9,0.40000,0.83366,0.82954,0.81422,0.81810
9,0.50000,0.83366,0.82954,0.81422,0.81810
9,0.60000,0.83312,0.82916,0.81353,0.81859
9,0.80000,0.83312,0.82916,0.81353,0.81859
10,0.20000,0.78653,0.77637,0.78984,0.77657
10,0.40000,0.76385,0.75144,0.75859,0.75172
10,0.50000,0.78712,0.77581,0.77713,0.77364
10,0.60000,0.79848,0.78633,0.78606,0.78471
10,0.80000,0.82175,0.81632,0.80460,0.80720
11,0.20000,0.83312,0.82916,0.81353,0.81859
11,0.40000,0.83312,0.82916,0.81353,0.81859
11,0.50000,0.82121,0.81807,0.80391,0.80784
11,0.60000,0.84502,0.84863,0.81714,0.82468
11,0.80000,0.85752,0.86488,0.82675,0.83689
12,0.20000,0.84562,0.83988,0.84409,0.83849
12,0.40000,0.82289,0.81082,0.82624,0.81519
12,0.50000,0.83312,0.82322,0.82624,0.82303
12,0.60000,0.84502,0.83345,0.83585,0.83418
12,0.80000,0.84616,0.83973,0.82984,0.83302
13,0.20000,0.81039,0.81288,0.79499,0.79525
13,0.40000,0.83366,0.83594,0.81353,0.81779
13,0.50000,0.83366,0.83594,0.81353,0.81779
13,0.60000,0.83366,0.83594,0.81353,0.81779
13,0.80000,0.83479,0.82999,0.81422,0.81857
14,0.20000,0.82175,0.81230,0.82555,0.81450
14,0.40000,0.83366,0.82707,0.84117,0.82735
14,0.50000,0.80925,0.81330,0.80701,0.79960
14,0.60000,0.80925,0.80655,0.80100,0.79828
14,0.80000,0.83479,0.82999,0.81422,0.81857
15,0.20000,0.81039,0.80242,0.79722,0.79526
15,0.40000,0.85747,0.86216,0.84701,0.84536
15,0.50000,0.85633,0.86371,0.83808,0.84269
15,0.60000,0.83252,0.83940,0.80683,0.81493
15,0.80000,0.84616,0.85220,0.81714,0.82695
16,0.20000,0.83420,0.82619,0.83516,0.82543
