K,Alpha,Accuracy,Precision,Recall,F1 score
1,0.20000,0.79784,0.78722,0.76288,0.76744
1,0.40000,0.81034,0.80210,0.78073,0.78550
1,0.50000,0.81034,0.80210,0.78073,0.78550
1,0.60000,0.81034,0.80210,0.78073,0.78550
1,0.80000,0.81034,0.80210,0.78073,0.78550
2,0.20000,0.77570,0.76767,0.77266,0.76170
2,0.40000,0.78761,0.77676,0.78228,0.77316
2,0.50000,0.78761,0.77676,0.78228,0.77316
2,0.60000,0.80011,0.79027,0.80014,0.78944
2,0.80000,0.78874,0.77848,0.79121,0.77864
3,0.20000,0.77457,0.76562,0.73163,0.74114
3,0.40000,0.78593,0.77537,0.74725,0.75559
3,0.50000,0.78593,0.77537,0.74725,0.75559
3,0.60000,0.78593,0.77537,0.74725,0.75559
3,0.80000,0.82170,0.81689,0.79035,0.79827
4,0.20000,0.80011,0.78922,0.78743,0.78613
4,0.40000,0.76494,0.75239,0.75927,0.75252
4,0.50000,0.78766,0.78099,0.78383,0.77631
4,0.60000,0.82284,0.81213,0.81198,0.80963
4,0.80000,0.84556,0.83505,0.83654,0.83314
5,0.20000,0.82229,0.83222,0.78589,0.79655
5,0.40000,0.81093,0.81764,0.77696,0.78538
5,0.50000,0.81093,0.81764,0.77696,0.78538
5,0.60000,0.82284,0.84448,0.78657,0.79667
5,0.80000,0.82284,0.84448,0.78657,0.79667
6,0.20000,0.78766,0.77123,0.77112,0.77017
6,0.40000,0.78766,0.77123,0.77112,0.77017
6,0.50000,0.79903,0.78283,0.78674,0.78428
6,0.60000,0.78712,0.76927,0.77112,0.76926
6,0.80000,0.77576,0.75875,0.76219,0.75820
7,0.20000,0.81039,0.82665,0.76957,0.78122
7,0.40000,0.79957,0.81192,0.76133,0.76903
7,0.50000,0.79957,0.81192,0.76133,0.76903
7,0.60000,0.79957,0.81192,0.76133,0.76903
7,0.80000,0.81093,0.82363,0.77696,0.78219
8,0.20000,0.81039,0.80988,0.78898,0.79244
8,0.40000,0.81039,0.80532,0.78297,0.78940
8,0.50000,0.81039,0.80532,0.78297,0.78940
8,0.60000,0.82175,0.81704,0.79859,0.80256
