K,Accuracy,Precision,Recall,F1 score
1,0.79462,0.81151,0.74745,0.74839
2,0.77664,0.78625,0.77602,0.76354
3,0.79662,0.79921,0.75638,0.76788
4,0.81069,0.80788,0.80281,0.79943
5,0.82351,0.84183,0.78673,0.79667
6,0.82168,0.81610,0.81173,0.80892
7,0.82259,0.84242,0.78673,0.79492
8,0.82060,0.82939,0.79974,0.80304
9,0.81951,0.82778,0.79082,0.79751
10,0.81951,0.82778,0.79082,0.79751
11,0.81951,0.85933,0.76658,0.77738
12,0.85448,0.85289,0.82959,0.83705
13,0.82259,0.86039,0.77015,0.78442
14,0.82259,0.83365,0.78444,0.79485
15,0.83450,0.88695,0.77908,0.79084
16,0.85831,0.88583,0.82015,0.83311
17,0.85831,0.90008,0.81480,0.82763
18,0.85831,0.88583,0.82015,0.83311
19,0.83633,0.87428,0.79158,0.80336
